Word:redound cos:-0.13818
Word:youngor cos:-0.31860
Word:mtrc cos:-0.11852
Word:fas cos:-0.09133
Word:gelsinger cos:0.07042
Word:hainan cos:0.03215
Word:3,340 cos:-0.34940
Word:oviraptorosaurs cos:-0.38917
Word:brainiest cos:-0.00690
Word:111.15 cos:-0.34155
Word:bulldozes cos:-0.25715
Word:pre-1939 cos:-0.18489
Word:eosinophils cos:-0.14100
Word:343,000 cos:-0.30598
Word:argo cos:-0.03192
Word:burde cos:-0.29427
Word:trigem cos:-0.41190
Word:non-attendance cos:-0.27769
Word:religio cos:-0.01888
Word:metastability cos:-0.24103
Word:8-25 cos:-0.46752
Word:phh cos:-0.13654
Word:12.7 cos:-0.17900
Word:13-fold cos:-0.34810
Word:dslackglobe.com cos:-0.29198
Word:551,000 cos:-0.42994
Word:hoffner cos:-0.23790
Word:qara cos:0.01826
Word:amandla cos:-0.18358
Word:monoxide cos:-0.14608
Word:harrowden cos:-0.08452
Word:endeavoring cos:-0.23164
Word:patuxent cos:-0.05781
Word:3,469 cos:-0.50446
Word:encroach cos:0.02411
Word:throne cos:0.75399
Word:299,000 cos:-0.32146
Word:acquirement cos:-0.25138
Word:geekcorps cos:-0.44974
Word:bigweld cos:-0.18915
Word:khadi cos:-0.01862
Word:gaynes cos:-0.05711
Word:dima cos:-0.20893
Word:gurkhas cos:0.16915
Word:immortality cos:0.21532
Word:benzedrine cos:-0.02585
Word:median cos:-0.03488
Word:perecent cos:-0.55225
Word:dejun cos:-0.17112
Word:puppeteers cos:-0.13747
Word:wristed cos:-0.25757
Word:15-25 cos:-0.33727
Word:gumtree cos:-0.37435
Word:metals cos:-0.01749
Word:superclub cos:-0.32806
Word:south-eastern cos:-0.04676
Word:silicon cos:0.00026
Word:unwitting cos:-0.06160
Word:blindsiding cos:-0.52658
Word:cotton-top cos:-0.08816
Word:percnet cos:-0.55904
Word:gratuity cos:-0.02018
Word:blacking cos:-0.18279
Word:ported cos:0.12768
Word:stockum cos:-0.29796
Word:vitores cos:-0.23031
Word:almallah cos:-0.15956
Word:tudou cos:-0.26712
Word:pirating cos:-0.08003
Word:antonine cos:0.05058
Word:paragraphs cos:0.01989
Word:al-khattab cos:0.20106
Word:tatars cos:0.16391
Word:gnupg cos:-0.47555
Word:moazzam cos:0.03080
Word:webmasters cos:-0.30594
Word:213.9 cos:-0.35161
Word:1.40 cos:-0.06951
Word:330-foot cos:-0.25677
Word:redefinition cos:-0.01869
Word:weilin cos:-0.21420
Word:anti-monitor cos:-0.02877
Word:remounts cos:-0.29151
Word:top-8 cos:-0.50760
Word:lyphard cos:-0.21327
Word:quinacrine cos:-0.41820
Word:pickfords cos:-0.18121
Word:t-series cos:-0.12804
Word:iron cos:0.38622
Word:crankshaft cos:-0.11462
Word:renji cos:-0.07141
Word:hungtu cos:-0.35317
Word:regain cos:0.32080
Word:ravikant cos:-0.28756
Word:rajaji cos:-0.08921
Word:joncour cos:-0.13691
Word:honeybee cos:-0.20040
Word:ajahn cos:-0.01580
Word:jivamukti cos:-0.29407
Word:biocon cos:0.12308
Word:8,980 cos:-0.47572
Word:nespresso cos:-0.11948
Word:unbanned cos:-0.21222
Word:skirmishing cos:-0.19265
Word:l&c cos:-0.29265
Word:cycler cos:-0.27881
Word:bongiorno cos:0.12652
Word:8,500 cos:-0.11967
Word:hoists cos:-0.09881
Word:jari-matti cos:-0.35850
Word:karmichael cos:-0.15775
Word:recreationists cos:-0.36457
Word:stramonium cos:-0.17499
Word:kumpulan cos:-0.01439
Word:stih cos:-0.19777
Word:mechatronic cos:-0.35462
Word:chokers cos:-0.07286
Word:ferronickel cos:-0.40009
Word:hoist cos:0.09168
Word:superconducting cos:-0.12903
Word:yanomamo cos:-0.30027
Word:mahseer cos:-0.18973
Word:34.99 cos:-0.11970
Word:chhun cos:-0.17910
Word:decriminalisation cos:-0.12738
Word:cinven cos:-0.26826
Word:perleberg cos:-0.40920
Word:287.1 cos:-0.27741
Word:panet cos:-0.28271
Word:wy cos:0.11280
Word:arone cos:-0.29319
Word:motion-sensing cos:-0.28842
Word:transbaikal cos:-0.17161
Word:d'austerlitz cos:-0.23619
Word:edisto cos:-0.10770
Word:kitchenware cos:-0.11138
Word:stepinac cos:-0.09511
Word:guanacos cos:-0.51288
Word:58.5 cos:-0.33003
Word:pembleton cos:-0.25257
Word:yomo cos:-0.28480
Word:mogel cos:-0.40326
Word:piel cos:-0.07885
Word:vigoro cos:-0.28092
Word:peror cos:-0.05000
Word:cardiowest cos:-0.33407
Word:springbank cos:-0.15703
Word:bunjevci cos:-0.28240
Word:128kg cos:-0.30999
Word:terakawa cos:-0.18091
Word:babita cos:-0.14582
Word:huascarán cos:-0.34118
Word:p2000 cos:-0.34300
Word:23.80 cos:-0.20919
Word:medium-speed cos:-0.24263
Word:negaso cos:-0.13449
Word:coated cos:-0.11793
Word:rhinemaidens cos:-0.28759
Word:camelids cos:-0.24524
Word:aquacultural cos:-0.38777
Word:iwakuni cos:-0.18545
Word:siddharta cos:-0.11468
Word:sharaku cos:-0.26151
Word:overspend cos:-0.15855
Word:edify cos:-0.28584
Word:bowhunting cos:-0.43591
Word:trench cos:0.08383
Word:4,402 cos:-0.51107
Word:reargue cos:-0.18368
Word:slogs cos:-0.26435
Word:spearheading cos:0.00755
Word:heckle cos:-0.03327
Word:hafez cos:0.31784
Word:niagara cos:0.12629
Word:uaap cos:-0.10918
Word:abī cos:0.12989
Word:zouch cos:-0.10072
Word:e-readers cos:-0.18396
Word:10-28 cos:-0.51085
Word:805,000 cos:-0.50000
Word:sportsgirl cos:-0.50739
Word:cloudscape cos:-0.52214
Word:brazauskas cos:0.10774
Word:stigmatise cos:-0.26484
Word:36,000 cos:-0.06925
Word:jieun cos:-0.14480
Word:high-mass cos:-0.21379
Word:bongaon cos:-0.43454
Word:geodynamics cos:-0.28219
Word:206.4 cos:-0.29328
Word:blundell cos:-0.06489
Word:clubman cos:0.01512
Word:punchestown cos:-0.12213
Word:rallycross cos:-0.30936
Word:illusionists cos:-0.04984
Word:4,000-foot cos:-0.35346
Word:avispa cos:-0.17669
Word:well-maintained cos:-0.35680
Word:demonstrated cos:0.26290
Word:proeski cos:-0.10187
Word:decimate cos:-0.15532
Word:pedalled cos:-0.25825
Word:nearchus cos:-0.01515
Word:coeur cos:0.10942
Word:54.3 cos:-0.23487
Word:adventures cos:0.37639
Word:epbc cos:-0.09021
Word:tanous cos:-0.25441
Word:28,000 cos:-0.02660
Word:ugborodo cos:-0.19370
Word:hamleys cos:-0.22573
Word:dadasaheb cos:0.01581
Word:warmongers cos:-0.06791
Word:jarndyce cos:-0.06098
Word:undergird cos:-0.29407
Word:hybridon cos:-0.34365
Word:katakura cos:-0.29955
Word:railroaded cos:-0.15253
Word:62,100 cos:-0.47510
Word:caldon cos:-0.22571
Word:reimagine cos:-0.23348
Word:lolas cos:-0.30740
Word:ahura cos:0.07363
Word:renju cos:-0.14295
Word:ariva cos:-0.39054
Word:balkanize cos:-0.39735
Word:emachines cos:0.00013
Word:eiger cos:-0.12679
Word:tabung cos:-0.04241
Word:13-26 cos:-0.27655
Word:hydel cos:-0.08950
Word:anti-virus cos:-0.42433
Word:nationalization cos:0.09890
Word:foreignness cos:-0.12609
Word:linn-baker cos:-0.17051
Word:chloe cos:0.16121
Word:hostplants cos:-0.19801
Word:sindy cos:-0.32063
Word:rewi cos:-0.19450
Word:footprinting cos:-0.62103
Word:publius cos:0.19778
Word:isogg cos:-0.14348
Word:guohui cos:-0.30343
Word:3-pound cos:-0.18748
Word:desperadoes cos:-0.34160
Word:hijet cos:-0.30246
Word:fretter cos:-0.44134
Word:sonoco cos:-0.14107
Word:freezepop cos:-0.31206
Word:gakayev cos:-0.22626
Word:ph.ds cos:-0.38601
Word:factory-backed cos:-0.49236
Word:sati cos:0.10990
Word:navaho cos:-0.12660
Word:joltid cos:-0.19962
Word:sematech cos:-0.32775
Word:9-square cos:-0.38611
Word:guirgis cos:-0.03873
Word:vil cos:-0.03577
Word:lewises cos:-0.09264
Word:rajini cos:-0.21149
Word:vorpal cos:-0.15647
Word:phags-pa cos:0.00472
Word:rapida cos:-0.17835
Word:psychotic cos:0.05063
Word:haverhill cos:-0.02340
Word:ostracise cos:-0.18821
Word:63,700 cos:-0.35251
Word:cmpc cos:-0.26385
Word:six-times cos:-0.36955
Word:horsemen cos:0.11830
Word:pop-dance cos:-0.38583
Word:votechart cos:-0.06040
Word:salles cos:-0.17269
Word:niceville cos:-0.20148
Word:grau cos:-0.14780
Word:grafton cos:0.13450
Word:cosponsor cos:-0.07190
Word:tessitura cos:-0.23864
Word:atherosclerotic cos:-0.13854
Word:ramige cos:0.04470
Word:iaccoca cos:-0.16346
Word:imv cos:-0.43419
Word:dyestuff cos:-0.42985
Word:nordenham cos:-0.34007
Word:lgm-30 cos:-0.18821
Word:free-flight cos:-0.48142
Word:endy cos:-0.14834
Word:83.94 cos:-0.36420
Word:expeditionary cos:0.20312
Word:briscoes cos:-0.24332
Word:99.11 cos:-0.19152
Word:refuels cos:-0.34800
Word:bijar cos:-0.22149
Word:cablesystems cos:-0.12169
Word:thermographic cos:-0.37639
Word:b-70 cos:-0.29567
Word:al-kamil cos:0.19365
Word:95.74 cos:-0.29700
Word:223.3 cos:-0.25620
Word:cochems cos:-0.08239
Word:shannons cos:-0.33550
Word:bobsledders cos:-0.32411
Word:incentivize cos:-0.33911
Word:portet cos:-0.23805
Word:pritzkers cos:-0.25801
Word:olk cos:-0.40108
Word:sties cos:-0.33971
Word:namdeb cos:-0.19078
Word:sheepherding cos:-0.17541
Word:itek cos:-0.11857
Word:sportiest cos:-0.28620
Word:agritourism cos:-0.44275
Word:glovers cos:-0.34768
Word:region cos:0.32618
Word:monné cos:-0.11612
Word:huemul cos:-0.17318
Word:reacquire cos:-0.15342
Word:13.75 cos:-0.22811
Word:forsake cos:0.06693
Word:ricocheted cos:-0.10375
Word:imperfections cos:-0.12977
Word:zaghawa cos:-0.12235
Word:319,000 cos:-0.36711
Word:urthboy cos:-0.39024
Word:jimtown cos:-0.39434
Word:smartone cos:-0.02205
Word:revolution cos:0.46860
Word:-3.50 cos:-0.51814
Word:goleo cos:0.04156
Word:walkmans cos:-0.18277
Word:encyclopedia cos:0.13632
Word:vekayam cos:-0.21927
Word:schmeltzer cos:-0.42345
Word:trickiness cos:-0.41171
Word:lingbao cos:-0.24429
Word:off-reservation cos:-0.04526
Word:schwikert cos:-0.24323
Word:takeshima cos:0.09953
Word:rugova cos:0.09748
Word:suwal cos:-0.13570
Word:turnhalle cos:-0.19759
Word:fflewddur cos:-0.31630
Word:tropang cos:-0.09172
Word:asraam cos:-0.27665
Word:nishant cos:-0.24954
Word:8.64 cos:-0.15010
Word:134.5 cos:-0.21103
Word:-8.00 cos:-0.31437
Word:simens cos:-0.37301
Word:448,000 cos:-0.36053
Word:tofas cos:-0.25227
Word:izturis cos:-0.21076
Word:locka cos:-0.24687
Word:kinka cos:-0.30874
Word:hegesippus cos:-0.18545
Word:dahon cos:-0.42500
Word:tuk cos:-0.07342
Word:anberlin cos:-0.17381
Word:divides cos:0.01068
Word:reconfigure cos:-0.18312
Word:riccio cos:0.07549
Word:ispat cos:-0.15060
Word:overspenders cos:-0.35597
Word:repap cos:-0.16826
Word:lipizzan cos:-0.27235
Word:ladybug cos:-0.09188
Word:slapper cos:-0.17431
Word:pressplay cos:-0.07412
Word:bubbas cos:-0.42537
Word:uninor cos:-0.18635
Word:cutdown cos:-0.05925
Word:coey cos:-0.22412
Word:delphiniums cos:-0.25060
Word:calozza cos:-0.20921
Word:aereas cos:-0.01817
Word:tinchy cos:-0.22862
Word:peacekeeping cos:0.15447
Word:prusik cos:-0.32558
Word:bifröst cos:-0.20122
Word:tih cos:-0.00846
Word:outgun cos:-0.22018
Word:maintainers cos:-0.24881
Word:romanticizing cos:-0.29234
Word:toyobo cos:-0.31053
Word:waitaki cos:-0.12448
Word:synergize cos:-0.45585
Word:thurloe cos:-0.14929
Word:poti cos:-0.07716
Word:428,000 cos:-0.34826
Word:braydon cos:-0.23674
Word:tunnelled cos:-0.26509
Word:sweetnorthernsaint cos:-0.10696
Word:carmellini cos:-0.25152
Word:islip cos:-0.02897
Word:yui cos:-0.00582
Word:coverdell cos:0.07207
Word:softdrink cos:-0.44163
Word:manticore cos:-0.16854
Word:pengiran cos:0.02010
Word:caecus cos:0.09253
Word:krikkit cos:-0.10692
Word:commmunity cos:-0.39982
Word:visualise cos:-0.22991
Word:oromo cos:-0.06574
Word:russett cos:-0.40135
Word:reforest cos:-0.24167
Word:32.40 cos:-0.20305
Word:hindquarters cos:-0.05621
Word:nextmedia cos:-0.30173
Word:nycz cos:-0.03977
Word:taberna cos:-0.15050
Word:relabeled cos:-0.30599
Word:attachmate cos:-0.42899
Word:enh cos:0.02523
Word:clarksdale cos:-0.05202
Word:sometime cos:0.49069
Word:maltese cos:0.13622
Word:transtexas cos:-0.30454
Word:pdcp cos:-0.41869
Word:dugongs cos:-0.01537
Word:rocksmith cos:-0.30384
Word:193,000 cos:-0.33820
Word:steeplechase cos:0.08937
Word:foma cos:0.06864
Word:right-wing cos:0.01991
Word:piston-engine cos:-0.30691
Word:harriston cos:-0.47820
Word:wumart cos:-0.19743
Word:tranquilize cos:-0.23197
Word:freedesktop.org cos:-0.46947
Word:aguascalientes cos:-0.18735
Word:minks cos:-0.39864
Word:-.02 cos:-0.27516
Word:bushire cos:-0.15820
Word:baharuddin cos:-0.12811
Word:reinvigorates cos:-0.31746
Word:f3dm cos:-0.17461
Word:55.5 cos:-0.20560
Word:ficon cos:-0.46937
Word:ölvir cos:-0.17745
Word:postmenopausal cos:-0.23703
Word:sbinet cos:-0.36098
Word:4r cos:-0.45755
Word:novozymes cos:-0.22104
Word:zmed cos:-0.17432
Word:degrade cos:-0.07572
Word:rtus cos:-0.36061
Word:diverts cos:-0.16029
Word:celebrators cos:-0.37214
Word:polygram cos:-0.01926
Word:luppi cos:-0.16206
Word:thoresby cos:-0.15068
Word:lubetzky cos:-0.44017
Word:mikimoto cos:-0.04508
Word:merling cos:-0.35523
Word:26-31 cos:-0.01975
Word:woldegiorgis cos:-0.25886
Word:saghder cos:-0.33790
Word:3,324 cos:-0.51826
Word:invented cos:0.41915
Word:auxins cos:-0.43994
Word:preheat cos:-0.08853
Word:shobiz cos:-0.15706
Word:iffa cos:0.07508
Word:22-month cos:-0.05486
Word:taoists cos:-0.03007
Word:ausone cos:-0.24728
Word:kiichiro cos:0.07879
Word:mosholu cos:-0.16849
Word:hatting cos:-0.25306
Word:500,000,000 cos:-0.42707
Word:shellcode cos:-0.25746
Word:hoppa cos:-0.47523
Word:fatwā cos:-0.07301
Word:delibes cos:-0.02712
Word:clines cos:-0.05246
Word:gauleiters cos:-0.26298
Word:sandboarding cos:-0.27483
Word:chibana cos:-0.10492
Word:roustabouts cos:-0.37441
Word:ranulf cos:0.16341
Word:kosciuszko cos:-0.05489
Word:händel cos:0.03940
Word:797,000 cos:-0.45766
Word:codice_46 cos:-0.35166
Word:wreak cos:0.09258
Word:oakleys cos:-0.32087
Word:2,273 cos:-0.53639
Word:beaucaire cos:-0.18940
Word:367th cos:-0.16361
Word:59.1 cos:-0.29335
Word:poorest cos:0.07735
Word:nichiro cos:-0.32417
Word:unmask cos:-0.06201
Word:kafue cos:-0.29337
Word:atraccion cos:-0.33265
Word:countersue cos:-0.27064
Word:vysoké cos:-0.35792
Word:zebras cos:-0.10062
Word:bizerte cos:-0.04618
Word:kashgari cos:-0.09200
Word:determine cos:0.21274
Word:fx45 cos:-0.35860
Word:14-race cos:-0.07607
Word:iv. cos:-0.12452
Word:chevaline cos:-0.41954
Word:brittanie cos:0.08928
Word:al-mutawakkil cos:0.18379
Word:ansaldobreda cos:-0.24057
Word:35.0 cos:-0.19893
Word:minuten cos:-0.33962
Word:callouts cos:-0.41310
Word:comunity cos:-0.46916
Word:bewail cos:-0.34431
Word:fubang cos:-0.10897
Word:rockaway cos:-0.08768
Word:videography cos:-0.26384
Word:aibopet cos:-0.22609
Word:stateline cos:-0.28606
Word:extell cos:-0.36164
Word:211.3 cos:-0.18630
Word:laurens cos:0.03903
Word:381,000 cos:-0.18748
Word:seia cos:-0.44295
Word:83.82 cos:-0.33520
Word:pleakley cos:-0.30423
Word:heterostructures cos:-0.38100
Word:deconstruct cos:-0.18063
Word:76.89 cos:-0.50545
Word:highfliers cos:-0.15636
Word:9.125 cos:-0.46755
Word:erel cos:-0.19860
Word:fye cos:-0.41631
Word:pre-2006 cos:-0.48397
Word:hotcakes cos:-0.22288
Word:halves cos:0.04738
Word:sydvaranger cos:-0.27766
Word:gutter cos:-0.13500
Word:duvernay cos:-0.20928
Word:2.185 cos:-0.29249
Word:kobelco cos:-0.28049
Word:kilembe cos:-0.35795
Word:td-scdma cos:-0.17496
Word:il-2 cos:-0.14342
Word:swigart cos:-0.32689
Word:makro cos:0.04973
Word:90.06 cos:-0.26552
Word:itu-t cos:-0.09667
Word:philipps cos:0.01904
Word:mantech cos:-0.35765
Word:canonised cos:0.15905
Word:re-gained cos:-0.14970
Word:siggeir cos:0.14497
Word:safely cos:0.17273
Word:kirtley cos:-0.01723
Word:crassness cos:-0.38608
Word:4.5-meter cos:-0.22563
Word:4,130 cos:-0.54068
Word:5,180 cos:-0.35730
Word:erythematosus cos:-0.19967
Word:mukhlas cos:0.17653
Word:sentell cos:-0.24391
Word:1946-1948 cos:-0.30431
Word:tshisekedi cos:0.07757
Word:aeras cos:-0.35738
Word:spinae cos:-0.27062
Word:advancepcs cos:-0.39833
Word:fabrazyme cos:-0.24467
Word:goju cos:-0.16743
Word:thge cos:-0.42714
Word:ludab cos:-0.26958
Word:nederlandse cos:-0.02397
Word:deploying cos:0.05469
Word:self-regulate cos:-0.25064
Word:pamlico cos:-0.13791
Word:upholders cos:-0.05674
Word:bahtiyar cos:-0.18341
Word:halaib cos:0.00194
Word:already-established cos:-0.43233
Word:mobile-phone cos:-0.37755
Word:wishman cos:-0.17532
Word:475th cos:-0.21360
Word:reemphasize cos:-0.24551
Word:phishers cos:-0.22307
Word:bosacki cos:-0.25482
Word:bahang cos:-0.21062
Word:greedo cos:-0.39379
Word:biryukova cos:-0.05702
Word:27th cos:0.16288
Word:youku cos:-0.33260
Word:boccanegra cos:0.02167
Word:garity cos:0.13751
Word:transdniestr cos:-0.05432
Word:makopo cos:-0.18727
Word:k-series cos:-0.19747
Word:bullseye cos:-0.17957
Word:19.98 cos:-0.04539
Word:uluru cos:-0.11653
Word:v1000 cos:-0.17381
Word:igf cos:-0.12570
Word:goodacre cos:-0.23037
Word:inure cos:-0.22281
Word:wakako cos:-0.42169
Word:buckaroo cos:-0.10333
Word:olsens cos:-0.29703
Word:immulogic cos:-0.22377
Word:bearshare cos:-0.38982
Word:riverboat cos:0.21526
Word:pot-limit cos:-0.10074
Word:briavels cos:-0.00252
Word:whizz cos:-0.14590
Word:acorna cos:-0.21721
Word:ogoniland cos:-0.06238
Word:caprolactam cos:-0.43146
Word:njord cos:-0.30945
