Word:deni cos:-0.46001
Word:tf cos:-0.09975
Word:multicare cos:-0.07332
Word:peerless cos:-0.09085
Word:dvd-rom cos:-0.06701
Word:ornda cos:-0.32844
Word:potboilers cos:-0.06429
Word:6-33 cos:-0.27929
Word:kral cos:-0.10485
Word:degree-granting cos:-0.21712
Word:kriol cos:-0.19085
Word:michelins cos:-0.23632
Word:nezahualcoyotl cos:-0.28579
Word:sudbay cos:-0.19174
Word:cascadden cos:-0.16910
Word:garas cos:-0.23413
Word:westerain cos:-0.22893
Word:laizans cos:-0.43129
Word:top-scoring cos:-0.22326
Word:cyanopepla cos:-0.23614
Word:lutea cos:-0.05154
Word:pavla cos:-0.21640
Word:cortinas cos:-0.22480
Word:windsock cos:-0.09885
Word:epidesma cos:-0.19342
Word:18:44 cos:-0.27802
Word:pocketpc cos:-0.01723
Word:mikoyan cos:-0.44175
Word:29.00 cos:-0.16034
Word:emet cos:-0.13597
Word:scapularis cos:-0.07221
Word:oblongs cos:-0.12670
Word:yagura cos:-0.17497
Word:posteriors cos:-0.13296
Word:yeremeyev cos:-0.34470
Word:47.12 cos:-0.34882
Word:catic cos:-0.23058
Word:39.56 cos:-0.31702
Word:dindi cos:-0.16646
Word:hughan cos:-0.25631
Word:emnes cos:-0.23963
Word:boyar cos:-0.19354
Word:106.89 cos:-0.31536
Word:simbi cos:-0.34043
Word:tethers cos:-0.05048
Word:117.69 cos:-0.26718
Word:yalow cos:-0.43858
Word:sharer cos:-0.08408
Word:73s cos:-0.15985
Word:.8226 cos:-0.11261
Word:delman cos:-0.33983
Word:schwarzrock cos:-0.29758
Word:al-sultan cos:-0.34949
Word:brahe cos:-0.08408
Word:tracklistings cos:-0.38328
Word:tomasevicz cos:-0.36442
Word:bankshares cos:-0.21226
Word:sennen cos:-0.13588
Word:mussey cos:-0.19262
Word:expandability cos:-0.42015
Word:philosophica cos:-0.19055
Word:warminster cos:-0.16242
Word:62nd cos:-0.04987
Word:boutelle cos:-0.40423
Word:2007-09 cos:-0.35789
Word:gaku cos:-0.36564
Word:safwan cos:-0.15025
Word:laslett cos:-0.25898
Word:serigraphs cos:-0.28878
Word:mennen cos:-0.16296
Word:small-caliber cos:-0.18652
Word:14:06 cos:-0.34672
Word:herdt cos:-0.33516
Word:rydze cos:-0.18503
Word:filion cos:-0.39476
Word:wdtn cos:-0.38449
Word:encasements cos:-0.33972
Word:aftergood cos:-0.02619
Word:deudorix cos:-0.13254
Word:whatchamacallit cos:-0.11721
Word:bigweld cos:-0.29866
Word:seri cos:-0.08701
Word:29.45 cos:-0.31622
Word:parsigian cos:-0.20735
Word:noda cos:-0.06032
Word:humbucking cos:-0.07753
Word:stakeholders cos:-0.07541
Word:off-center cos:-0.11178
Word:minuartia cos:-0.06577
Word:aziz cos:-0.00213
Word:ulanov cos:-0.38338
Word:longchenpa cos:-0.46675
Word:perriss cos:-0.22707
Word:undercoater cos:-0.03575
Word:sarathkumar cos:-0.34049
Word:26.10 cos:-0.18992
Word:ravesteyn cos:-0.25440
Word:felder cos:-0.19530
Word:kashaf cos:-0.06617
Word:non-operational cos:-0.04759
Word:upheavals cos:-0.22780
Word:instituut cos:-0.08572
Word:85.61 cos:-0.40135
Word:29.10 cos:-0.17220
Word:deheart cos:-0.44964
Word:polii cos:-0.29079
Word:37.49 cos:-0.44806
Word:lazović cos:-0.40802
Word:chatila cos:-0.13189
Word:ayakatubby cos:-0.33675
Word:calmes cos:-0.19027
Word:marn cos:-0.35981
Word:liva cos:-0.16987
Word:132kg cos:-0.11793
Word:lakai cos:-0.16788
Word:rudraksha cos:-0.05580
Word:school-record cos:-0.11100
Word:shahor cos:-0.25996
Word:silk-screened cos:-0.16385
Word:interjects cos:-0.18159
Word:advani cos:-0.00679
Word:hidage cos:-0.07398
Word:logoed cos:-0.17622
Word:wetzel cos:-0.12643
Word:alaotra-mangoro cos:-0.18190
Word:costas cos:-0.04868
Word:ndp cos:-0.04972
Word:capbreton cos:-0.19495
Word:haywoode cos:-0.07918
Word:hypochondriacal cos:-0.03458
Word:1985-86 cos:-0.16515
Word:kaba cos:-0.18228
Word:merta cos:-0.36608
Word:sabiston cos:-0.18339
Word:lerdahl cos:-0.22703
Word:falise cos:-0.17645
Word:oxaliplatin cos:-0.35173
Word:vvaf cos:-0.27224
Word:25.44 cos:-0.28649
Word:mischievousness cos:-0.11999
Word:krizz cos:-0.27440
Word:37.87 cos:-0.37416
Word:dobrowolski cos:-0.23066
Word:steambath cos:-0.24438
Word:boskovich cos:-0.23962
Word:capitalia cos:-0.07028
Word:foxsports.com cos:-0.22282
Word:akara cos:-0.13199
Word:hagersville cos:-0.27512
Word:proximamente cos:-0.06510
Word:quint cos:-0.19552
Word:bwitched cos:-0.11142
Word:23.80 cos:-0.17092
Word:cully cos:-0.27055
Word:bilqis cos:-0.15282
Word:x9 cos:-0.09893
Word:comendador cos:-0.24868
Word:choko cos:-0.31443
Word:congeals cos:-0.08696
Word:bogen cos:-0.23935
Word:rocketown cos:-0.23262
Word:c.a.r.e. cos:-0.29750
Word:culic cos:-0.24448
Word:castoffs cos:-0.03444
Word:aggadah cos:-0.25934
Word:multi-seat cos:-0.23384
Word:involucrata cos:-0.06218
Word:wenxiang cos:-0.27088
Word:seven-foot cos:-0.07424
Word:yashili cos:-0.11806
Word:kasicky cos:-0.30091
Word:pounders cos:-0.11154
Word:krezwick cos:-0.36144
Word:muslimovic cos:-0.17743
Word:poons cos:-0.29778
Word:sergio cos:-0.02493
Word:phillabaum cos:-0.33567
Word:jasso cos:-0.34801
Word:phangnga cos:-0.15774
Word:specky cos:-0.09912
Word:teofilo cos:-0.31206
Word:corbeta cos:-0.41028
Word:divljan cos:-0.27223
Word:red-shouldered cos:-0.17681
Word:bigbie cos:-0.13492
Word:marszałek cos:-0.20884
Word:star-shaped cos:-0.07891
Word:ralliers cos:-0.24188
Word:alraune cos:-0.19064
Word:1.025 cos:-0.01882
Word:24.20 cos:-0.18330
Word:off-network cos:-0.06798
Word:playbills cos:-0.23721
Word:tomokazu cos:-0.14006
Word:trouvé cos:-0.25427
Word:lavatories cos:-0.08181
Word:bejbl cos:-0.40444
Word:12-of-15 cos:-0.01006
Word:andoh cos:-0.30398
Word:handfasting cos:-0.14427
Word:pimicikamak cos:-0.15493
Word:destler cos:-0.20266
Word:writs cos:-0.10983
Word:jumbie cos:-0.02742
Word:henckels cos:-0.41939
Word:casualwear cos:-0.30612
Word:timbal cos:-0.16672
Word:belew cos:-0.27851
Word:hellishly cos:-0.02007
Word:muisca cos:-0.07356
Word:justyn cos:-0.43673
Word:adeste cos:-0.25947
Word:scanlan cos:-0.13975
Word:covington cos:-0.04460
Word:zasloff cos:-0.05473
Word:93.42 cos:-0.31913
Word:cd-rw cos:-0.11911
Word:113.58 cos:-0.40246
Word:15:06 cos:-0.33805
Word:nahi cos:-0.09988
Word:dunker cos:-0.15550
Word:867-4105 cos:-0.15642
Word:malevre cos:-0.26542
Word:caja cos:-0.31761
Word:deh cos:-0.00140
Word:xanthus cos:-0.18649
Word:rissanen cos:-0.31255
Word:eased cos:-0.01025
Word:harro cos:-0.40584
Word:x0 cos:-0.22801
Word:756th cos:-0.17898
Word:pictogram cos:-0.03738
Word:takamasa cos:-0.28486
Word:merchandised cos:-0.15930
Word:---------------------------------------------- cos:-0.13981
Word:halifaxes cos:-0.20148
Word:kc-10 cos:-0.09576
Word:coniglio cos:-0.18934
Word:194.2 cos:-0.32079
Word:beckstead cos:-0.57049
Word:sifre cos:-0.23615
Word:mcbroom cos:-0.00196
Word:reinstates cos:-0.18666
Word:puputti cos:-0.38313
Word:menomonie cos:-0.08233
Word:clubfoot cos:-0.11083
Word:claudio cos:-0.15315
Word:jasikevičius cos:-0.33426
Word:dibbell cos:-0.29141
Word:conspiratorially cos:-0.19748
Word:hapgood cos:-0.23855
Word:tropicbird cos:-0.13543
Word:meir cos:-0.03501
Word:prayoga cos:-0.19385
Word:cintamani cos:-0.13853
Word:38mm cos:-0.16105
Word:mallesons cos:-0.02148
Word:babo cos:-0.26418
Word:17-yard cos:-0.08198
Word:1983-87 cos:-0.23128
Word:schöning cos:-0.33816
Word:pangasinan cos:-0.22759
Word:star-like cos:-0.19350
Word:tele cos:-0.03658
Word:climer cos:-0.41214
Word:6,279 cos:-0.45944
Word:psst cos:-0.04154
Word:seurin cos:-0.13547
Word:12-turn cos:-0.19658
Word:caespitosa cos:-0.00748
Word:hidenao cos:-0.10156
Word:15,269 cos:-0.50766
Word:reedbuck cos:-0.10696
Word:kalif cos:-0.29715
Word:franchi cos:-0.18972
Word:tamla cos:-0.13404
Word:jatte cos:-0.12655
Word:abat cos:-0.13546
Word:zarian cos:-0.04801
Word:heavyweights cos:-0.04276
Word:friederich cos:-0.30503
Word:ftr cos:-0.22251
Word:iskenderun cos:-0.12181
Word:normington cos:-0.17940
Word:erwartung cos:-0.24110
Word:jukeboxes cos:-0.14700
Word:intoning cos:-0.03926
Word:migliori cos:-0.23394
Word:black-powder cos:-0.09836
Word:launer cos:-0.32418
Word:mudrā cos:-0.15562
Word:niven cos:-0.11634
Word:calef cos:-0.18134
Word:khutba cos:-0.06731
Word:ilio cos:-0.33407
Word:adiós cos:-0.12395
Word:fleeces cos:-0.01058
Word:h.v. cos:-0.50941
Word:tonos cos:-0.20745
Word:jan-erik cos:-0.39329
Word:75.47 cos:-0.20134
Word:gorgodze cos:-0.34245
Word:iso9000 cos:-0.11849
Word:mamuka cos:-0.48986
Word:loosed cos:-0.09237
Word:two-year cos:-0.03753
Word:bajakian cos:-0.24227
Word:hulka cos:-0.24759
Word:lagouranis cos:-0.37695
Word:rosset cos:-0.11541
Word:certifies cos:-0.14837
Word:salishan cos:-0.19717
Word:vocalise cos:-0.26093
Word:121.90 cos:-0.39902
Word:1.5239 cos:-0.23287
Word:wedgies cos:-0.16279
Word:coronata cos:-0.03108
Word:odontoglossum cos:-0.01065
Word:milstein cos:-0.17029
Word:49.25 cos:-0.37118
Word:18,130 cos:-0.32599
Word:fafhrd cos:-0.08013
Word:tovalieri cos:-0.13515
Word:achievements cos:-0.00656
Word:patakis cos:-0.14633
Word:talma cos:-0.20611
Word:26.30 cos:-0.18272
Word:reorganised cos:-0.09664
Word:recluses cos:-0.16531
Word:analys cos:-0.17517
Word:wildsmith cos:-0.18195
Word:melodiya cos:-0.34757
Word:thierry cos:-0.02192
Word:107.35 cos:-0.26846
Word:munchin cos:-0.13729
Word:phoca cos:-0.17309
Word:helicoverpa cos:-0.11785
Word:126.90 cos:-0.40626
Word:r.b.i. cos:-0.15630
Word:petrushka cos:-0.06641
Word:gabb cos:-0.32131
Word:lyday cos:-0.39042
Word:kunhiraman cos:-0.26228
Word:ogston cos:-0.32126
Word:53rd cos:-0.01168
Word:unexpired cos:-0.16552
Word:c&a cos:-0.22473
Word:delk cos:-0.22372
Word:gryshchenko cos:-0.32596
Word:kizu cos:-0.29005
Word:writer/producer cos:-0.00718
Word:étudiants cos:-0.20138
Word:kunga cos:-0.38277
Word:1973-74 cos:-0.11603
Word:lamphun cos:-0.14746
Word:hosler cos:-0.22861
Word:donchin cos:-0.21716
Word:12-of-23 cos:-0.03759
Word:gore-tex cos:-0.29087
Word:ponte cos:-0.29687
Word:blest cos:-0.14147
Word:eccm cos:-0.33130
Word:pethia cos:-0.18154
Word:salatin cos:-0.15472
Word:landzaat cos:-0.16690
Word:t-72s cos:-0.28240
Word:talmid cos:-0.04186
Word:tourtellotte cos:-0.43527
Word:denticulata cos:-0.01565
Word:27.48 cos:-0.25429
Word:veselka cos:-0.31174
Word:liley cos:-0.23271
Word:kanzler cos:-0.30516
Word:у cos:-0.28659
Word:honig cos:-0.07542
Word:hartnell cos:-0.14806
Word:ituc cos:-0.22418
Word:dvd-r cos:-0.23588
Word:pelz cos:-0.19944
Word:blitt cos:-0.09345
Word:mawdsley cos:-0.21503
Word:vondie cos:-0.15354
Word:84.90 cos:-0.44210
Word:chee cos:-0.10645
Word:maintainability cos:-0.35088
Word:phyllomedusa cos:-0.04642
Word:o'donohoe cos:-0.26610
Word:ex-prisoners cos:-0.21538
Word:grs cos:-0.15482
Word:fratianno cos:-0.18109
Word:chrysostomides cos:-0.17993
Word:armato cos:-0.32089
Word:poria cos:-0.35072
Word:audiocassettes cos:-0.35360
Word:naos cos:-0.08043
Word:reichsmark cos:-0.14926
Word:razak cos:-0.03312
Word:kahnawake cos:-0.04600
Word:zhui cos:-0.23963
Word:nonofficial cos:-0.06545
Word:barto cos:-0.32263
Word:colline cos:-0.16087
Word:harivamsa cos:-0.17698
Word:komura cos:-0.15704
Word:amaël cos:-0.28915
Word:prusek cos:-0.34773
Word:mcelhinney cos:-0.27346
Word:catkin cos:-0.09913
Word:telecommunications cos:-0.01857
Word:babygrande cos:-0.10247
Word:macaria cos:-0.07718
Word:bluestreak cos:-0.16735
Word:paich cos:-0.25414
Word:papapetrou cos:-0.25240
Word:munchi cos:-0.28547
Word:atenza cos:-0.27542
Word:brazin cos:-0.42809
Word:actinomorphic cos:-0.17260
Word:bridgework cos:-0.23288
Word:all-nfl cos:-0.02239
Word:vatikai cos:-0.32811
Word:brasfield cos:-0.08764
Word:dupee cos:-0.41847
Word:道 cos:-0.09188
Word:throwaways cos:-0.10069
Word:kta cos:-0.40225
Word:gamester cos:-0.12649
Word:childproof cos:-0.00334
Word:1963-65 cos:-0.36825
Word:miyazawa cos:-0.23604
Word:ciger cos:-0.10183
Word:bancaracas cos:-0.02823
Word:aveeno cos:-0.14184
Word:cubillo cos:-0.25897
Word:riha cos:-0.35039
Word:yiannakis cos:-0.18839
Word:elverson cos:-0.38751
Word:clothespin cos:-0.05860
Word:ihenacho cos:-0.47846
Word:tatsujin cos:-0.11611
Word:19:19 cos:-0.33604
Word:claster cos:-0.22934
Word:20-25 cos:-0.16681
Word:malvasi cos:-0.40992
Word:106mm cos:-0.16842
Word:touchpoints cos:-0.07227
Word:litas cos:-0.27232
Word:bienvenidos cos:-0.02741
Word:lariat cos:-0.03830
Word:matteson cos:-0.16312
Word:84.30 cos:-0.31319
Word:tertius cos:-0.28968
Word:shambaugh cos:-0.28494
Word:neurosciences cos:-0.08334
Word:zzzz cos:-0.01304
Word:noodge cos:-0.10915
Word:whomped cos:-0.20905
Word:accusingly cos:-0.10091
Word:cernua cos:-0.13131
Word:middle/high cos:-0.21953
Word:svcd cos:-0.24043
Word:blankness cos:-0.21427
Word:candel cos:-0.21542
Word:mcvaney cos:-0.38261
Word:manumissions cos:-0.22887
Word:electricite cos:-0.13475
Word:re-designated cos:-0.00057
Word:tatianna cos:-0.22429
Word:bechor cos:-0.14044
Word:embla cos:-0.00221
Word:kirstine cos:-0.31219
Word:9a-3p cos:-0.07340
Word:transpired cos:-0.00239
Word:roussely cos:-0.16336
Word:30.60 cos:-0.23791
Word:barile cos:-0.14177
Word:solidago cos:-0.00287
Word:mañana cos:-0.06537
Word:29.40 cos:-0.17556
Word:stripling cos:-0.16960
Word:kriging cos:-0.10700
Word:youyu cos:-0.22949
Word:dbx cos:-0.24224
Word:mid-90s cos:-0.23084
Word:dulu cos:-0.33114
Word:iole cos:-0.13287
Word:monstrosity cos:-0.05885
Word:soft-paste cos:-0.10505
Word:26.75 cos:-0.34230
Word:strabena cos:-0.13250
Word:kroons cos:-0.15456
Word:gipe cos:-0.42261
Word:3-66 cos:-0.14291
Word:lidström cos:-0.26690
Word:pierantoni cos:-0.01343
Word:4p-10p cos:-0.02694
Word:outset cos:-0.00178
Word:mccanns cos:-0.09853
Word:ioannis cos:-0.21435
Word:amigo cos:-0.08371
Word:luteus cos:-0.06130
Word:decorum cos:-0.15249
Word:nikkan cos:-0.06737
Word:three-year cos:-0.01736
Word:opler cos:-0.27887
Word:matichon cos:-0.02045
Word:smallworld cos:-0.25106
Word:blueboard cos:-0.28774
Word:genuflecting cos:-0.36226
Word:gesù cos:-0.21546
Word:skyraiders cos:-0.36417
Word:lampang cos:-0.08992
Word:jenista cos:-0.27521
Word:altran cos:-0.30946
Word:opawa cos:-0.30325
Word:hanrahan cos:-0.29659
Word:dewars cos:-0.20848
Word:archly cos:-0.09170
Word:tuality cos:-0.17881
Word:5,084 cos:-0.32678
Word:poptones cos:-0.22871
Word:charvel cos:-0.29311
Word:nutcase cos:-0.03673
Word:diabo cos:-0.00733
Word:finnis cos:-0.29715
Word:schwartze cos:-0.22668
Word:hollingdale cos:-0.38610
Word:glatter cos:-0.25819
Word:prunea cos:-0.30932
Word:scali cos:-0.23790
Word:64.40 cos:-0.30757
Word:taranga cos:-0.22619
Word:slowik cos:-0.13320
Word:calgary-based cos:-0.03784
Word:inscriptionum cos:-0.11395
Word:hearst-argyle cos:-0.20020
Word:fettle cos:-0.04519
Word:wouldbe cos:-0.10570
Word:bilba cos:-0.21279
Word:leleu cos:-0.14554
Word:392.50 cos:-0.26077
Word:siffredi cos:-0.07575
Word:schoeffler cos:-0.45029
Word:wedlick cos:-0.27912
Word:umbilicus cos:-0.10824
Word:gottardi cos:-0.32674
Word:districtwide cos:-0.13270
Word:peyresourde cos:-0.44247
Word:tdc cos:-0.00524
Word:powderpuff cos:-0.00083
Word:gonia cos:-0.24165
Word:oteri cos:-0.14491
Word:30.30 cos:-0.22647
Word:zambri cos:-0.28335
Word:volcom cos:-0.21010
Word:27.38 cos:-0.24341
Word:.338 cos:-0.12186
Word:govts cos:-0.16589
Word:wyrd cos:-0.13740
Word:imeni cos:-0.19540
Word:gorak cos:-0.30339
Word:large-caliber cos:-0.07416
Word:ews cos:-0.06273
Word:apiculata cos:-0.20918
Word:75.77 cos:-0.32142
Word:disk-based cos:-0.16792
Word:paracles cos:-0.08926
Word:horror-comics cos:-0.03043
Word:kusunoki cos:-0.45419
Word:mohamad cos:-0.03214
Word:112.02 cos:-0.37965
Word:unsecure cos:-0.24518
Word:twardzik cos:-0.15112
Word:headstocks cos:-0.41416
Word:zbc cos:-0.14267
Word:chavunduka cos:-0.32254
Word:nyamwezi cos:-0.36983
Word:ranong cos:-0.10909
Word:filley cos:-0.44762
Word:relativizer cos:-0.12879
Word:cavies cos:-0.18266
Word:manolos cos:-0.05748
Word:cleanth cos:-0.32799
Word:brohan cos:-0.48147
Word:burchette cos:-0.39281
Word:jean-honoré cos:-0.31964
Word:11-yard cos:-0.06298
Word:lt.col cos:-0.28165
Word:mansurian cos:-0.10710
Word:satyrium cos:-0.07335
Word:fujine cos:-0.18696
Word:daghestan cos:-0.25104
Word:thestor cos:-0.10586
Word:imae cos:-0.15725
Word:112.86 cos:-0.41865
Word:kaillie cos:-0.29557
Word:dirigido cos:-0.30941
Word:bach cos:-0.00042
Word:19:47 cos:-0.29846
Word:dirr cos:-0.27838
Word:stuffings cos:-0.12077
Word:vedi cos:-0.08722
Word:nachlass cos:-0.10555
Word:stefanów cos:-0.17205
Word:bergens cos:-0.03203
Word:engro cos:-0.19307
Word:mugford cos:-0.17026
Word:whippings cos:-0.17367
Word:terrines cos:-0.20346
Word:protopopov cos:-0.29818
Word:chaire cos:-0.24038
Word:drell cos:-0.26686
Word:rokia cos:-0.29890
Word:agim cos:-0.21507
Word:19:58 cos:-0.34899
Word:spline cos:-0.16312
Word:46-8 cos:-0.40457
Word:manisaspor cos:-0.15894
Word:sonatrach cos:-0.05476
Word:heidorn cos:-0.14833
Word:25.40 cos:-0.17176
Word:sadaharu cos:-0.01915
Word:zizhen cos:-0.21600
Word:xara cos:-0.15703
Word:giroux cos:-0.17575
Word:plateia cos:-0.16686
Word:seltmann cos:-0.12834
Word:linaria cos:-0.12514
Word:endah cos:-0.08114
Word:realvideo cos:-0.41694
Word:coltishall cos:-0.31041
Word:sproston cos:-0.23438
Word:vartiainen cos:-0.31056
Word:godkiller cos:-0.11264
Word:7.6251 cos:-0.24198
Word:elenor cos:-0.40182
Word:muzzle-loaders cos:-0.28056
Word:thit cos:-0.06205
Word:77.67 cos:-0.31434
Word:jerar cos:-0.25959
Word:bullata cos:-0.08103
Word:is/was cos:-0.07191
Word:akrour cos:-0.24333
Word:paulie cos:-0.06409
Word:b.r. cos:-0.17976
Word:sabur cos:-0.17747
Word:unselected cos:-0.11069
Word:dhuni cos:-0.11952
Word:đàm cos:-0.23225
Word:rastetter cos:-0.28981
Word:winborne cos:-0.42001
Word:šarūnas cos:-0.28131
Word:untv cos:-0.36426
Word:engagingly cos:-0.07984
Word:love/hate cos:-0.13278
Word:sikes cos:-0.17573
Word:pre-1967 cos:-0.18597
Word:goodyears cos:-0.16661
Word:own-brand cos:-0.24512
Word:vanderson cos:-0.28265
Word:mid-1991 cos:-0.45324
Word:butakov cos:-0.37254
Word:mechanix cos:-0.05324
Word:p32 cos:-0.14017
Word:gunlock cos:-0.23184
Word:27.30 cos:-0.18411
Word:tarraconensis cos:-0.18159
Word:viveka cos:-0.39736
Word:birdbath cos:-0.02156
Word:116.27 cos:-0.22133
Word:mihály cos:-0.31722
Word:berlei cos:-0.51714
Word:isaaq cos:-0.20315
Word:alaia cos:-0.17608
Word:datuk cos:-0.05941
Word:flamenca cos:-0.11455
Word:overwrought cos:-0.01961
Word:21:35 cos:-0.27461
Word:nampula cos:-0.15320
Word:drozdowski cos:-0.18342
Word:riddoch cos:-0.24412
Word:chalices cos:-0.22241
Word:ezzell cos:-0.25791
Word:montie cos:-0.11146
Word:ohmygod cos:-0.05216
Word:hieronimus cos:-0.26304
Word:kakawin cos:-0.01726
Word:bnp cos:-0.03324
Word:predigested cos:-0.29236
Word:stańko cos:-0.27648
Word:low-tide cos:-0.28853
Word:ezekial cos:-0.15834
Word:rajit cos:-0.26688
Word:loungewear cos:-0.16447
Word:munchak cos:-0.12481
Word:28.60 cos:-0.15542
Word:qalibaf cos:-0.20571
Word:crossin cos:-0.41783
Word:valediction cos:-0.12851
Word:17-pounder cos:-0.05957
Word:badawi cos:-0.00519
Word:time-life cos:-0.11844
Word:mygale cos:-0.16457
Word:krivitsky cos:-0.40269
Word:suban cos:-0.21997
Word:thespis cos:-0.12235
Word:nhlpa cos:-0.08600
Word:wonderfulness cos:-0.06621
Word:technophobe cos:-0.03961
Word:ssm cos:-0.21612
Word:lincolns cos:-0.03935
Word:hammett cos:-0.17200
Word:kontsevich cos:-0.39212
Word:deadpans cos:-0.03018
Word:monacelli cos:-0.39764
Word:xcp cos:-0.24957
Word:konterman cos:-0.23829
Word:21-acre cos:-0.05619
Word:monokote cos:-0.15063
Word:kenyi cos:-0.26715
Word:19:52 cos:-0.36295
Word:heliocheilus cos:-0.07190
Word:29.20 cos:-0.20643
Word:mathile cos:-0.46068
Word:499th cos:-0.15435
Word:monroney cos:-0.12590
Word:graveline cos:-0.32028
Word:mergel cos:-0.37416
Word:âm cos:-0.14994
Word:24.60 cos:-0.15702
Word:59th cos:-0.04186
Word:phototypesetting cos:-0.11904
Word:mimes cos:-0.07880
Word:anitha cos:-0.28845
Word:chinks cos:-0.09265
Word:raducioiu cos:-0.33564
Word:lagerwey cos:-0.27656
Word:liberato cos:-0.29419
Word:hotfoot cos:-0.10461
Word:motorin cos:-0.46855
Word:trinder cos:-0.17436
Word:aikins cos:-0.48189
Word:reynst cos:-0.45067
Word:24.90 cos:-0.22062
Word:keheliya cos:-0.22558
Word:2007-2010 cos:-0.21784
Word:86.90 cos:-0.37776
Word:ahvaz cos:-0.18136
Word:brachodes cos:-0.13291
Word:skyhooks cos:-0.10747
Word:azmath cos:-0.29863
Word:9.662 cos:-0.13126
Word:4,535 cos:-0.38648
Word:ai-ai cos:-0.34825
Word:barkocy cos:-0.20717
Word:harrows cos:-0.18111
Word:gius cos:-0.06307
Word:zamana cos:-0.13682
Word:oooooh cos:-0.09263
Word:semifinished cos:-0.33217
Word:dokken cos:-0.08200
Word:24.40 cos:-0.22585
Word:magnified cos:-0.06832
Word:pinzgauer cos:-0.09902
Word:bulluck cos:-0.21843
Word:artemisa cos:-0.12757
Word:storstad cos:-0.07631
Word:photo-journalist cos:-0.14413
Word:taws cos:-0.16787
Word:aptech cos:-0.38903
Word:2007-2009 cos:-0.25856
Word:hamson cos:-0.20972
Word:satun cos:-0.01242
Word:syro-palestinian cos:-0.19730
Word:one-of-a-kind cos:-0.03766
Word:mylothris cos:-0.08206
Word:sando cos:-0.07801
Word:windpower cos:-0.16595
Word:labelmates cos:-0.08580
Word:imitative cos:-0.19521
Word:nipkow cos:-0.18340
Word:burung cos:-0.16091
Word:kulkov cos:-0.42015
Word:wellhouse cos:-0.27580
Word:husbandman cos:-0.01500
