Word:awakens cos:0.31939
Word:amati cos:0.09136
Word:rinder cos:-0.19798
Word:al-mukhtar cos:-0.30682
Word:gyms cos:0.19395
Word:barbree cos:-0.35870
Word:bermingham cos:-0.34298
Word:kármán cos:0.00132
Word:lasar cos:-0.11243
Word:reddam cos:-0.40776
Word:barawa cos:-0.37665
Word:allah cos:0.22978
Word:tyrants cos:0.02620
Word:ashihara cos:-0.15511
Word:cajetan cos:-0.37150
Word:inadequately cos:0.05296
Word:foucher cos:-0.27258
Word:garz cos:-0.25411
Word:troi cos:-0.24845
Word:hawass cos:-0.04086
Word:generalitat cos:-0.17096
Word:fabaceae cos:0.23515
Word:pipavav cos:-0.20135
Word:lgoc cos:-0.28630
Word:lidbom cos:-0.30082
Word:nonfiction cos:0.06171
Word:mikami cos:0.01992
Word:25.37 cos:-0.31719
Word:idibia cos:-0.28347
Word:panganiban cos:-0.05549
Word:bomback cos:-0.32111
Word:administrator cos:0.03304
Word:valletti cos:-0.23116
Word:shoval cos:-0.29834
Word:eucken cos:-0.32331
Word:berel cos:-0.27193
Word:haluk cos:-0.17157
Word:naisbitt cos:-0.18310
Word:2,172 cos:-0.30246
Word:blakey cos:-0.17627
Word:pseudohistory cos:-0.21810
Word:baolin cos:-0.21148
Word:paresis cos:-0.05858
Word:grella cos:0.03177
Word:moorii cos:-0.10556
Word:gardi cos:-0.18390
Word:navion cos:-0.27006
Word:ca4 cos:-0.27487
Word:jurman cos:-0.26398
Word:nonroster cos:-0.09838
Word:occom cos:-0.12767
Word:warnings cos:0.15601
Word:gowarikar cos:-0.17231
Word:tsimshian cos:0.00205
Word:runnells cos:-0.15026
Word:almanac cos:0.17894
Word:barth cos:-0.07734
Word:wishing cos:0.21366
Word:solondz cos:-0.03789
Word:amneris cos:-0.12499
Word:stapp cos:-0.11459
Word:leang cos:-0.37048
Word:57.90 cos:-0.26061
Word:cohl cos:-0.27821
Word:grosskreutz cos:-0.22864
Word:bruchac cos:-0.32555
Word:cundall cos:-0.33000
Word:katzir cos:-0.23641
Word:zalău cos:-0.15309
Word:granata cos:0.00496
Word:kidwell cos:-0.19341
Word:sogen cos:-0.07843
Word:alvor cos:-0.40237
Word:baillargeon cos:-0.35484
Word:sundeep cos:-0.25204
Word:trakh cos:-0.29057
Word:callosa cos:-0.30778
Word:ognjen cos:-0.18045
Word:5-foot-1 cos:-0.12106
Word:treiman cos:-0.26968
Word:dicotyledonous cos:-0.06352
Word:mehler cos:-0.36922
Word:buzaglo cos:-0.13308
Word:ahmsa cos:-0.15109
Word:vetulani cos:-0.39070
Word:foing cos:-0.29792
Word:skillicorn cos:-0.44370
Word:umemura cos:-0.17183
Word:gobie cos:-0.22576
Word:kogod cos:-0.26939
Word:1,849 cos:-0.33178
Word:comrades cos:0.12547
Word:maffia cos:-0.10575
Word:mazdak cos:-0.28241
Word:teyla cos:-0.29776
Word:bulut cos:-0.23010
Word:2010-2012 cos:-0.18578
Word:44.40 cos:-0.23434
Word:mahakavi cos:-0.11070
Word:planning cos:0.14912
Word:58.01 cos:-0.37539
Word:yach cos:-0.13395
Word:fulton cos:0.08705
Word:groven cos:-0.25450
Word:invalided cos:0.02560
Word:behnke cos:-0.17007
Word:tusharas cos:-0.27465
Word:dickov cos:-0.01081
Word:lynsey cos:-0.06977
Word:weimann cos:-0.35240
Word:miraculous cos:0.31524
Word:gaudoin cos:-0.21968
Word:nadym cos:-0.51345
Word:1-june cos:-0.25593
Word:guittard cos:-0.04876
Word:potted cos:0.14121
Word:30.09 cos:-0.29165
Word:fluoropolymer cos:-0.08320
Word:castell cos:-0.28130
Word:krosa cos:0.05110
Word:lavine cos:-0.44906
Word:1977-1995 cos:-0.33450
Word:takamine cos:-0.24208
Word:formula_118 cos:-0.32166
Word:cedd cos:-0.36117
Word:coppiced cos:-0.18808
Word:warriors cos:0.33875
Word:5in cos:-0.24015
Word:reenactment cos:0.04637
Word:fincantieri cos:-0.12723
Word:abated cos:-0.07296
Word:darris cos:-0.18422
Word:incantations cos:0.02556
Word:shrout cos:-0.31796
Word:mightily cos:-0.10095
Word:boswellia cos:0.03051
Word:subcontracting cos:-0.25409
Word:kauffman cos:-0.00468
Word:ddos cos:0.18974
Word:white-collar cos:-0.07699
Word:kraal cos:0.22567
Word:sorcerers cos:0.21374
Word:forgiveness cos:0.04983
Word:8nb cos:-0.17839
Word:soufan cos:-0.19550
Word:57.61 cos:-0.36484
Word:jermain cos:-0.04163
Word:mosey cos:-0.07037
Word:threats cos:0.09228
Word:743,000 cos:-0.28606
Word:tomberlin cos:-0.07882
Word:monody cos:-0.07305
Word:holmström cos:-0.15428
Word:holleyman cos:-0.34853
Word:pre-flight cos:-0.02190
Word:dragomir cos:-0.19075
Word:creating cos:0.25450
Word:quaternary cos:-0.08471
Word:reuter cos:-0.13804
Word:fahlin cos:-0.37867
Word:encrust cos:-0.13826
Word:2,964 cos:-0.40964
Word:literacies cos:-0.14253
Word:sediq cos:-0.24897
Word:pc-12 cos:-0.14621
Word:ikram cos:-0.22496
Word:tabac cos:-0.04125
Word:winebaum cos:-0.07808
Word:neurosurgery cos:0.02215
Word:lamarca cos:-0.19653
Word:obscurely cos:-0.08461
Word:phillippe cos:-0.03011
Word:nijman cos:-0.30823
Word:grammond cos:-0.28486
Word:mcmillin cos:-0.09020
Word:brigte cos:-0.02108
Word:gcaa cos:-0.31409
Word:crocodilians cos:0.34212
Word:19-gun cos:-0.06921
Word:jackhammers cos:-0.09671
Word:frithiof cos:-0.27556
Word:wamala cos:-0.26363
Word:pollan cos:-0.02233
Word:mallia cos:-0.48699
Word:plebes cos:-0.06052
Word:azarenka cos:-0.14961
Word:mantapa cos:-0.11824
Word:umbridge cos:-0.11784
Word:statilius cos:-0.17671
Word:harvards cos:-0.13189
Word:solero cos:-0.30610
Word:giusti cos:-0.33037
Word:josta cos:-0.13782
Word:rutina cos:-0.28185
Word:rycroft cos:-0.32112
Word:sandalow cos:-0.50063
Word:hanninen cos:-0.22600
Word:frakes cos:-0.06978
Word:tisdale cos:-0.06659
Word:gandu cos:-0.03638
Word:matho cos:-0.33317
Word:carolan cos:-0.17952
Word:kasprowicz cos:0.08627
Word:sarah-jane cos:-0.18234
Word:1992-1993 cos:-0.19585
Word:mcfadzean cos:-0.41578
Word:cayden cos:-0.08435
Word:post cos:0.23023
Word:toying cos:-0.02111
Word:brenchley cos:-0.32733
Word:pussyfooting cos:-0.11809
Word:sanjan cos:-0.15161
Word:invigorate cos:-0.13841
Word:origami cos:0.26060
Word:glancy cos:-0.34024
Word:onuf cos:-0.29753
Word:buccieri cos:-0.27400
Word:freudenstein cos:-0.33643
Word:designing cos:0.16719
Word:sisti cos:-0.58075
Word:beiser cos:-0.21651
Word:davidoff cos:0.07009
Word:ovenden cos:-0.17489
Word:aéreas cos:-0.06458
Word:irreducibility cos:-0.30708
Word:melvoin cos:-0.12761
Word:prosek cos:-0.27398
Word:unruly cos:0.29406
Word:aspire cos:-0.02501
Word:gandler cos:-0.07337
Word:gezi cos:-0.06256
Word:actor/director cos:-0.18477
Word:rockhold cos:-0.14075
Word:tenji cos:-0.13693
Word:frightening cos:0.31585
Word:huisman cos:-0.24313
Word:shop cos:0.44043
Word:vimes cos:-0.10042
Word:7,110 cos:-0.45583
Word:nanomaterial cos:-0.22301
Word:mauvais cos:-0.05176
Word:loureiro cos:-0.03557
Word:mahony cos:-0.26851
Word:mogote cos:-0.23637
Word:löwy cos:-0.41715
Word:submitted cos:-0.03244
Word:pade cos:-0.08160
Word:piven cos:-0.07147
Word:veber cos:-0.00350
Word:1939-41 cos:-0.20818
Word:silverwork cos:-0.26282
Word:bingde cos:-0.04488
Word:moschus cos:-0.06111
Word:oafish cos:-0.01405
Word:awc cos:-0.06805
Word:orosco cos:0.01362
Word:flag-captain cos:-0.12826
Word:dolma cos:0.05709
Word:munns cos:-0.31637
Word:verlin cos:-0.42229
Word:corbet cos:-0.18932
Word:levandusky cos:-0.33965
Word:petronilla cos:-0.25609
Word:brotherly cos:-0.14056
Word:tammaro cos:-0.21232
Word:304,000 cos:-0.11663
Word:kieron cos:-0.11831
Word:österreich cos:-0.17314
Word:belic cos:-0.35567
Word:cafes cos:0.10270
Word:embodied cos:0.02588
Word:cannas cos:0.03541
Word:newsham cos:-0.10186
Word:fncci cos:-0.03385
Word:tzipora cos:-0.41271
Word:n-type cos:-0.34775
Word:lotito cos:-0.30937
Word:mathew cos:0.02616
Word:rumbaut cos:-0.28328
Word:eight-year-old cos:0.25828
Word:gumti cos:0.03040
Word:volchok cos:-0.27597
Word:hirabayashi cos:-0.32049
Word:governor-in-council cos:-0.09416
Word:sorcery cos:0.31260
Word:mckendry cos:-0.23393
Word:self-absorbed cos:0.03637
Word:high-octane cos:-0.08067
Word:golbaf cos:-0.22466
Word:1971-74 cos:-0.12300
Word:rivero cos:-0.17730
Word:eugeniusz cos:-0.42026
Word:groenvold cos:-0.34594
Word:tuwim cos:-0.14353
Word:rivkind cos:-0.27889
Word:ideation cos:-0.12144
Word:acec cos:-0.36470
Word:resorts cos:0.27253
Word:nayyar cos:-0.32562
Word:buffum cos:-0.11166
Word:dinan cos:-0.33027
Word:vertically cos:0.26670
Word:bradfords cos:-0.17606
Word:reșița cos:-0.30877
Word:twisted-pair cos:-0.35224
Word:pickhardt cos:-0.35437
Word:marcom cos:-0.25842
Word:dragonetti cos:-0.24730
Word:paet cos:-0.27365
Word:pistole cos:-0.12500
Word:diamanti cos:0.10398
Word:mccurley cos:-0.36504
Word:sela cos:-0.21231
Word:bertolotti cos:-0.09043
Word:schock cos:-0.33808
Word:wroe cos:-0.15188
Word:quadrupeds cos:0.01961
Word:widenhofer cos:-0.14826
Word:gustava cos:-0.25056
Word:birthed cos:0.01894
Word:falsone cos:-0.33929
Word:lassen cos:-0.11988
Word:kharavela cos:-0.34350
Word:kiptoo cos:-0.09655
Word:hagar cos:0.08580
Word:holowka cos:-0.15365
Word:asger cos:-0.11445
Word:iraq-iran cos:-0.28753
Word:westerberg cos:-0.09554
Word:illiniwek cos:0.05735
Word:preljocaj cos:-0.09431
Word:fulrad cos:-0.33678
Word:booi cos:0.14548
Word:mayele cos:-0.21658
Word:catino cos:-0.38451
Word:ascribing cos:-0.11832
Word:ropeik cos:-0.33364
Word:beauregard cos:-0.22214
Word:o'rorke cos:-0.35954
Word:roch cos:-0.12680
Word:yousri cos:-0.30257
Word:jarle cos:-0.25825
Word:millsaps cos:-0.15333
Word:babby cos:-0.29551
Word:beir cos:-0.27414
Word:banko cos:-0.27664
Word:hot-blooded cos:0.05130
Word:ledin cos:-0.13353
Word:linowitz cos:-0.29018
Word:cristaldo cos:-0.16421
Word:morimoto cos:-0.08751
Word:paletta cos:-0.15166
Word:polynuclear cos:-0.24115
Word:low-paying cos:-0.19985
Word:chism cos:-0.28545
Word:ribon cos:-0.00902
Word:irreligious cos:-0.02198
Word:snitzer cos:-0.22284
Word:zhimin cos:-0.24531
Word:brownless cos:-0.09678
Word:helprin cos:-0.10699
Word:head-coach cos:-0.34576
Word:hateley cos:-0.29562
Word:sentient cos:0.35967
Word:véliz cos:-0.31903
Word:corkscrews cos:-0.05678
Word:12-for-12 cos:0.02698
Word:sakyong cos:-0.28911
Word:kelci cos:-0.48673
Word:76.69 cos:-0.26737
Word:dimensionless cos:-0.23289
Word:schildknecht cos:-0.52220
Word:hành cos:-0.22850
Word:däniken cos:-0.05401
Word:dörner cos:-0.18230
Word:loening cos:-0.18819
Word:rafted cos:-0.00223
Word:nemelka cos:-0.36860
Word:camelids cos:0.04938
Word:okoaye cos:-0.22954
Word:merrington cos:-0.34012
Word:51.09 cos:-0.43036
Word:walczak cos:-0.30490
Word:isom cos:-0.03338
Word:wakeford cos:-0.27974
Word:omens cos:0.16592
Word:botwright cos:-0.12477
Word:turville-petre cos:-0.33227
Word:obscures cos:-0.03680
Word:natchez cos:-0.04512
Word:gamete cos:0.04053
Word:self-proclaimed cos:0.11349
Word:3750 cos:-0.46873
Word:abell cos:-0.17407
Word:bar-on cos:-0.35956
Word:perrelli cos:-0.31370
Word:woggle cos:-0.10349
Word:bresnik cos:-0.15958
Word:clinician cos:0.15623
Word:20/40 cos:-0.08390
Word:goodison cos:-0.01153
Word:mehreen cos:-0.14773
Word:outgrowing cos:-0.09867
Word:uli cos:-0.07782
Word:weibel cos:-0.17804
Word:dramaturg cos:-0.12005
Word:rieussec cos:-0.35365
Word:t-cells cos:-0.13699
Word:benke cos:-0.36844
Word:keesee cos:-0.11310
Word:pios cos:-0.03341
Word:bampfylde cos:-0.20158
Word:seidenberg cos:-0.15864
Word:slews cos:-0.23938
Word:zhenmin cos:-0.17111
Word:gresh cos:-0.24415
Word:halcyon cos:-0.00749
Word:namond cos:-0.18617
Word:nasco cos:-0.33442
Word:outmoded cos:-0.05955
Word:muslimovic cos:-0.03924
Word:millennium cos:0.24030
Word:welker cos:0.00007
Word:klenau cos:-0.15830
Word:pilawa cos:-0.32333
Word:rusie cos:-0.26469
Word:saint-amand cos:-0.38176
Word:grunhard cos:0.00843
Word:maccario cos:-0.07376
Word:give-away cos:-0.07710
Word:evoque cos:-0.02801
Word:brentson cos:-0.15531
Word:genwei cos:-0.18310
Word:abound cos:0.11174
Word:firebrick cos:-0.23176
Word:hotels cos:0.18105
Word:hanis cos:-0.29770
Word:58.06 cos:-0.31545
Word:dagh cos:-0.03242
Word:unworried cos:-0.19352
Word:fueling cos:-0.04709
Word:boulard cos:-0.35519
Word:espínola cos:-0.34143
Word:centeno cos:-0.27709
Word:basant cos:0.11228
Word:steinke cos:-0.23301
Word:christianson cos:-0.31811
Word:two-strokes cos:-0.28789
Word:1,883 cos:-0.27105
Word:synaxarion cos:-0.00829
Word:mojahedin cos:-0.11328
Word:enigk cos:-0.24514
Word:howdah cos:0.19736
Word:rissa cos:-0.32959
Word:philosophies cos:0.01307
Word:serrata cos:0.10925
Word:tssa cos:-0.21350
Word:kvly cos:-0.30608
Word:boreholes cos:-0.09654
Word:memorials cos:-0.07767
Word:noodling cos:-0.02263
Word:linn-baker cos:-0.22248
Word:hostplants cos:-0.00946
Word:options cos:0.16776
Word:murthi cos:-0.16291
Word:gurdas cos:-0.21524
Word:oenb cos:-0.21310
Word:人 cos:-0.00876
Word:vaidi cos:-0.35165
Word:ohshima cos:-0.11992
Word:nowicki cos:-0.11119
Word:bischofberger cos:-0.18437
Word:shamai cos:-0.23332
Word:abstinent cos:-0.17235
Word:falchion cos:-0.19463
Word:seventeen-year-old cos:0.15213
Word:typewriters cos:0.10576
Word:loving cos:0.46403
Word:belfort cos:-0.16115
Word:asashio cos:0.00288
Word:craniotomy cos:0.00541
Word:merrells cos:-0.20505
Word:vlahović cos:-0.29730
Word:f-84e cos:-0.35637
Word:placidity cos:-0.27445
Word:toba cos:0.09767
Word:persecutor cos:-0.00042
Word:leaver cos:-0.15954
Word:whitener cos:0.14837
Word:zoppo cos:-0.05124
Word:wantagh cos:-0.09031
Word:roadhouses cos:-0.18558
Word:jo-han cos:-0.17315
Word:alexanderson cos:-0.29629
Word:dinello cos:-0.23027
Word:mcgoff cos:-0.23902
Word:thirkettle cos:-0.24420
Word:4,897 cos:-0.35776
Word:ebden cos:-0.18165
Word:grof cos:-0.24414
Word:keown cos:0.02570
Word:sudano cos:-0.23740
Word:tacuarembó cos:-0.22851
Word:cat cos:1.00000
Word:lifestyle cos:0.37450
Word:arabists cos:0.02299
Word:5,865 cos:-0.43995
Word:zeche cos:-0.35603
Word:ribonucleotide cos:-0.12706
Word:preisler cos:-0.28021
Word:effenberg cos:-0.20774
Word:symbolically cos:-0.06160
Word:louris cos:-0.34067
Word:58.84 cos:-0.30776
Word:truly cos:0.37534
Word:jarrico cos:-0.43239
Word:quagmires cos:-0.12444
Word:meka cos:-0.07821
Word:tenons cos:-0.35299
Word:lieberbaum cos:-0.27740
Word:vigneswaran cos:-0.42467
Word:hideko cos:-0.36359
Word:weicheng cos:-0.29678
Word:scheuermann cos:-0.15747
Word:underfur cos:-0.21094
Word:abdelrazeq cos:-0.34105
Word:okam cos:-0.20911
Word:gettysburg cos:-0.02191
Word:lanzaro cos:-0.29644
Word:sigillum cos:-0.10136
Word:city/25 cos:-0.23975
Word:colvin cos:-0.08645
Word:cubit cos:0.07794
Word:rijkman cos:-0.23996
Word:brevig cos:-0.27791
Word:abdulgani cos:-0.31136
Word:1988-1989 cos:-0.14305
Word:coupeaux cos:-0.09882
Word:colorists cos:0.05073
Word:nosal cos:-0.41320
Word:playrooms cos:0.01919
Word:fears cos:0.16516
Word:earby cos:-0.37722
Word:degregorio cos:-0.12576
Word:boël cos:-0.29123
Word:megatrends cos:0.00036
Word:l994 cos:-0.28582
Word:albani cos:-0.07875
Word:tedrow cos:-0.34117
Word:anti-zionist cos:-0.18110
Word:tarantola cos:-0.27142
Word:uspa cos:-0.08179
Word:jørgen cos:-0.18174
Word:thiourea cos:-0.23999
Word:lenny cos:0.00181
Word:definitives cos:-0.20444
Word:bertens cos:-0.41951
Word:brick-making cos:-0.13772
Word:momberg cos:-0.37353
Word:witzel cos:-0.28807
Word:bhutia cos:-0.13962
Word:171.50 cos:-0.43114
Word:city/30 cos:-0.29902
Word:koshiba cos:-0.31644
Word:reared cos:0.43559
Word:jaret cos:0.08470
Word:kastrati cos:-0.31531
Word:ecclesiasticus cos:-0.08169
Word:isomerase cos:-0.08955
Word:office cos:0.18633
Word:3,727 cos:-0.32304
Word:moraitis cos:-0.27249
Word:gearhart cos:0.08600
Word:mckissack cos:-0.30242
Word:paikea cos:-0.16449
Word:liccione cos:-0.21650
Word:a.o. cos:-0.23111
Word:wagons-lits cos:-0.11308
Word:odalis cos:-0.08038
Word:50.90 cos:-0.31963
Word:bandag cos:-0.16292
Word:zsolnay cos:-0.02579
Word:59.79 cos:-0.32907
Word:entered cos:0.23539
Word:59e59 cos:-0.17809
Word:granoff cos:-0.36699
Word:mcbroom cos:0.04860
Word:finelli cos:-0.28789
Word:menhart cos:-0.25098
Word:1,508 cos:-0.40421
Word:mcgregory cos:-0.16480
Word:anderegg cos:-0.09998
Word:catalano cos:-0.18818
Word:62.72 cos:-0.40700
Word:feininger cos:-0.13068
Word:groomes cos:-0.23753
Word:kufa cos:-0.14540
Word:vishu cos:-0.08927
Word:paya cos:-0.18488
Word:siaki cos:-0.07172
Word:foy cos:-0.12667
Word:milly cos:0.01960
Word:nishant cos:-0.08236
Word:dickenman cos:-0.21112
Word:ablow cos:-0.14523
Word:iser cos:-0.33524
Word:greacen cos:-0.41499
Word:mabuse cos:0.16216
Word:haslinger cos:-0.27218
Word:crews cos:0.26082
Word:axford cos:-0.16075
Word:agrotis cos:0.10305
Word:sillimanite cos:-0.40347
Word:helman cos:-0.17637
Word:finnian cos:-0.37799
Word:mooc cos:0.11162
Word:earles cos:-0.08564
Word:hilgenberg cos:-0.30599
Word:tomalin cos:-0.05217
Word:ștefan cos:-0.09465
Word:1,904 cos:-0.47310
Word:singlets cos:-0.11515
Word:steenland cos:-0.05874
Word:5,200 cos:-0.10204
Word:elwes cos:-0.01616
Word:cannata cos:-0.26167
Word:hibbert cos:-0.00598
Word:kanda cos:-0.10791
Word:olivella cos:0.11665
Word:ommaya cos:-0.26126
Word:firmian cos:-0.33918
Word:martial-arts cos:-0.06469
Word:48.58 cos:-0.41811
Word:hopscotch cos:0.07016
Word:berglas cos:-0.08190
Word:embody cos:0.04878
Word:43.61 cos:-0.36130
Word:nahmani cos:-0.02412
Word:mashego cos:-0.22218
Word:darwins cos:-0.12734
Word:overlaps cos:-0.21269
Word:all-mac cos:-0.08706
Word:communions cos:-0.16109
Word:patrol cos:0.29572
Word:kasule cos:-0.26878
Word:mysorean cos:-0.29900
Word:wister cos:-0.09217
Word:pfos cos:-0.13885
Word:microorganism cos:0.15022
Word:henzler cos:0.10615
Word:regionalisms cos:-0.22351
Word:sloate cos:-0.44700
Word:reichenau cos:-0.05919
Word:bowhill cos:-0.33423
Word:funiculus cos:-0.15700
Word:delko cos:-0.19978
Word:fifth-year cos:-0.07106
Word:mcgarrity cos:-0.37390
Word:chaiban cos:-0.06859
Word:sts-120 cos:-0.22842
Word:myers-briggs cos:0.14495
Word:medinaceli cos:-0.33248
Word:94.98 cos:-0.31073
Word:13:31 cos:-0.30910
Word:newsted cos:-0.12688
Word:4,121 cos:-0.29312
Word:mwf cos:-0.09700
Word:parenti cos:-0.31500
Word:leaf-blades cos:-0.17898
Word:stafford-clark cos:-0.21352
Word:abat cos:-0.13466
Word:bryk cos:-0.17912
Word:toggling cos:-0.16149
Word:tompkins cos:-0.12770
Word:vercors cos:-0.05494
Word:superkick cos:-0.05117
Word:pc-6 cos:-0.24320
Word:photosynthesizing cos:0.00945
Word:kitz cos:-0.22029
Word:masanao cos:-0.52806
Word:unskilled cos:0.01936
Word:tredinnick cos:-0.37459
Word:franson cos:-0.28555
Word:planorbidae cos:-0.00776
Word:viant cos:-0.29516
Word:hand-made cos:0.02909
Word:kosowski cos:-0.27436
Word:oresharski cos:-0.36955
Word:masotti cos:-0.31349
Word:hallmarks cos:0.09336
Word:watene cos:-0.17976
Word:blackney cos:-0.44704
Word:cornerstone cos:-0.09195
Word:uniting cos:-0.02361
Word:baster cos:-0.05991
Word:preaching cos:0.08441
Word:8,230 cos:-0.14972
Word:frasure cos:-0.50709
Word:dronett cos:-0.03462
Word:matraville cos:-0.33137
Word:verplanck cos:-0.33381
Word:holiness cos:0.02611
Word:médias cos:-0.38574
Word:depression-era cos:-0.09622
Word:triveni cos:-0.06801
Word:259,000 cos:-0.21608
Word:bookshops cos:-0.02181
Word:kere cos:-0.06214
Word:pose cos:0.31334
Word:pyatt cos:-0.34286
Word:salovey cos:-0.35484
Word:terephthalate cos:0.41530
Word:shed-roofed cos:0.01263
Word:inge cos:-0.05600
Word:fiancé cos:0.23370
Word:sarutobi cos:-0.06976
Word:sawatzky cos:-0.20270
Word:yardy cos:-0.07406
Word:sweringen cos:-0.23108
Word:soltz cos:-0.23633
Word:rathbun cos:-0.17878
Word:hamlaoui cos:-0.25037
Word:abbotsford cos:-0.12526
Word:weaned cos:0.17743
Word:20w cos:-0.19206
Word:terrorizes cos:0.14412
Word:meselson cos:-0.22701
Word:cancri cos:0.07024
Word:prophets cos:0.10977
Word:jayakarta cos:-0.09090
Word:lammers cos:-0.32552
Word:tomljanovic cos:-0.46138
Word:commissionner cos:-0.35739
Word:gangwar cos:-0.30606
Word:meaney cos:0.02531
Word:allene cos:-0.33585
Word:rieck cos:-0.36943
Word:funar cos:-0.18615
Word:cutts cos:-0.18526
Word:47.40 cos:-0.21037
Word:valency cos:-0.31515
Word:bashaw cos:-0.41617
Word:harnessed cos:0.10328
Word:greensville cos:-0.07043
Word:coon cos:0.37883
Word:mcpartlin cos:0.01203
Word:kashkari cos:-0.16358
Word:hanisch cos:-0.23804
Word:nextrend cos:-0.17827
Word:recordist cos:-0.05641
Word:76.85 cos:-0.30367
