Word:92.22 cos:-0.23692
Word:sayles cos:0.19492
Word:danns cos:-0.27915
Word:poteet cos:-0.28170
Word:herrs cos:-0.25316
Word:1895 cos:0.34274
Word:93.01 cos:-0.33063
Word:484.5 cos:-0.40411
Word:84.38 cos:-0.17150
Word:1873 cos:0.28396
Word:3,232 cos:-0.50666
Word:jevon cos:-0.01204
Word:comstock cos:0.04433
Word:97.18 cos:-0.01901
Word:jixian cos:-0.20518
Word:thorugh cos:-0.40565
Word:7digital cos:-0.34876
Word:administrating cos:-0.31305
Word:overdoses cos:-0.20655
Word:barlee cos:-0.33200
Word:white-eyed cos:-0.05090
Word:91.98 cos:-0.25436
Word:crabbe cos:0.15675
Word:disclaiming cos:-0.14697
Word:eighty-ninth cos:-0.27662
Word:odorant cos:-0.28075
Word:t53 cos:-0.09736
Word:88.67 cos:-0.32683
Word:brustein cos:0.01791
Word:rumormongers cos:-0.52937
Word:architectural cos:0.23182
Word:sindoor cos:-0.03001
Word:12:00 cos:-0.01017
Word:199.6 cos:-0.45376
Word:89.09 cos:-0.22066
Word:amidships cos:0.18736
Word:single-file cos:-0.47952
Word:160,000 cos:-0.18386
Word:shorthaul cos:-0.33278
Word:ninety-third cos:-0.27024
Word:neoclassical cos:-0.04111
Word:small-screen cos:-0.24984
Word:kaita cos:-0.08674
Word:theoharis cos:-0.44796
Word:reo-coker cos:-0.20013
Word:marauded cos:-0.32314
Word:arizal cos:-0.23367
Word:yayah cos:-0.24394
Word:sumitomo cos:0.20165
Word:115.3 cos:-0.32187
Word:72.64 cos:-0.18935
Word:172.9 cos:-0.40707
Word:4.625 cos:-0.43582
Word:decriminalising cos:-0.41902
Word:homewards cos:-0.33892
Word:80.20 cos:-0.33938
Word:antipater cos:-0.06664
Word:rafic cos:-0.14954
Word:coosje cos:-0.25363
Word:alburt cos:-0.30579
Word:mth cos:-0.14827
Word:heedlessly cos:-0.37518
Word:98.15 cos:-0.02330
Word:khan cos:0.17244
Word:galilean cos:-0.07364
Word:90.44 cos:-0.26665
Word:cch cos:0.02280
Word:foeticide cos:-0.15268
Word:ushers cos:-0.06440
Word:cotinine cos:-0.28541
Word:stft cos:-0.36830
Word:regularizing cos:-0.42709
Word:liszt cos:-0.00631
Word:73kg cos:0.13770
Word:poupard cos:-0.17977
Word:97.40 cos:-0.10451
Word:resell cos:-0.02520
Word:monic cos:-0.11174
Word:12.5-percent cos:-0.23215
Word:europe/africa cos:0.17120
Word:boulez cos:-0.13277
Word:99.28 cos:-0.05581
Word:falsework cos:-0.31600
Word:221.7 cos:-0.33207
Word:hsia cos:-0.17277
Word:94.87 cos:-0.03093
Word:lower-priced cos:-0.27745
Word:ajunwa cos:-0.22467
Word:evict cos:-0.10235
Word:sdh cos:-0.19594
Word:pahlawan cos:0.04222
Word:gandersheim cos:-0.18611
Word:abseiled cos:-0.20012
Word:wyse cos:-0.04305
Word:fire cos:0.30804
Word:holiday cos:0.18139
Word:96.35 cos:-0.15663
Word:hydroplanes cos:-0.16595
Word:headshunt cos:-0.38448
Word:stanislavsky cos:-0.22634
Word:shepherded cos:-0.29693
Word:atomize cos:-0.47569
Word:nexteer cos:-0.47512
Word:thernstrom cos:-0.22324
Word:rpf cos:-0.06214
Word:longer-distance cos:-0.33019
Word:duping cos:-0.29527
Word:scarfed cos:-0.15798
Word:1.16 cos:-0.08240
Word:254.6 cos:-0.45912
Word:salopek cos:-0.07318
Word:re-focused cos:-0.20751
Word:offals cos:-0.40643
Word:92.82 cos:-0.13578
Word:feduccia cos:-0.09704
Word:nantie cos:-0.34749
Word:four-year-olds cos:-0.35808
Word:d'état cos:0.12823
Word:5-39 cos:-0.27092
Word:irrawaddy cos:-0.06684
Word:ever-larger cos:-0.40086
Word:eighty-eighth cos:-0.36738
Word:95.67 cos:-0.22113
Word:limbers cos:-0.28088
Word:duffs cos:-0.06675
Word:junking cos:-0.35333
Word:annunziata cos:-0.05827
Word:deep-lying cos:-0.15819
Word:215.6 cos:-0.39175
Word:vistan cos:-0.15894
Word:aaas cos:-0.06361
Word:bouknight cos:-0.33225
Word:dusseldorp cos:-0.49242
Word:100.31 cos:-0.32006
Word:3,937 cos:-0.30927
Word:messines cos:0.04847
Word:balaoing cos:-0.17515
Word:recalculating cos:-0.47981
Word:82.9 cos:-0.22834
Word:hockman cos:-0.23320
Word:buyse cos:-0.52244
Word:cidb cos:-0.32503
Word:127.2 cos:-0.33635
Word:pabst cos:0.18415
Word:troopers cos:0.23075
Word:beechcraft cos:0.21378
Word:93.85 cos:-0.32866
Word:felgenhauer cos:-0.16732
Word:unshorn cos:-0.25570
Word:jointly-owned cos:-0.33349
Word:hearkening cos:-0.09588
Word:self-inflicted cos:-0.12154
Word:resupplying cos:-0.30870
Word:10-night cos:-0.14976
Word:serfdom cos:-0.15581
Word:mewing cos:-0.12042
Word:89.47 cos:-0.24485
Word:kotipelto cos:-0.26467
Word:debes cos:-0.09072
Word:saitoti cos:-0.02492
Word:mutaz cos:-0.30464
Word:122.7 cos:-0.36765
Word:everlasting cos:0.26299
Word:chess cos:0.24544
Word:earlwood cos:-0.45532
Word:scrappage cos:-0.16651
Word:padua cos:-0.04691
Word:96.94 cos:-0.15565
Word:kuzman cos:-0.38791
Word:ufj cos:0.14342
Word:béchamel cos:-0.04336
Word:sleeve cos:0.38356
Word:750v cos:-0.08185
Word:gutensohn cos:-0.26853
Word:99.16 cos:-0.08272
Word:hukou cos:-0.18511
Word:appaloosa cos:0.14388
Word:powdered cos:0.03187
Word:95.05 cos:-0.21281
Word:leibrandt cos:-0.00189
Word:visoki cos:-0.44994
Word:drewry cos:0.16335
Word:geisst cos:-0.03768
Word:feest cos:-0.44576
Word:cession cos:-0.07913
Word:wrath cos:0.31712
Word:anastasios cos:-0.24481
Word:pedalled cos:-0.33688
Word:direct-to-consumer cos:-0.27581
Word:layed cos:-0.32474
Word:snuggle cos:-0.14769
Word:palaeologus cos:0.24053
Word:beatifications cos:-0.49482
Word:lyceum cos:-0.04102
Word:fuentes cos:0.05839
Word:vergel cos:-0.22783
Word:sashay cos:-0.34579
Word:handsprings cos:-0.36840
Word:predetermining cos:-0.44134
Word:loosens cos:-0.25814
Word:strenghten cos:-0.28210
Word:98.57 cos:-0.02471
Word:brand-name cos:-0.19657
Word:tailor-made cos:-0.24528
Word:98.40 cos:-0.04226
Word:ruadh cos:-0.01546
Word:ramusio cos:-0.35047
Word:wizkids cos:-0.25077
Word:163.4 cos:-0.37714
Word:97.11 cos:-0.05665
Word:howdah cos:-0.09410
Word:rolando cos:0.16207
Word:lachiusa cos:0.03485
Word:insas cos:0.01559
Word:301,000 cos:-0.40102
Word:voice-overs cos:-0.11572
Word:159.1 cos:-0.46130
Word:460,000 cos:-0.43411
Word:soldotna cos:-0.31556
Word:nduwayo cos:-0.14801
Word:recommits cos:-0.39727
Word:wresting cos:-0.19529
Word:barnstorm cos:-0.40138
Word:1775 cos:0.24210
Word:logsdon cos:0.03669
Word:kalejs cos:-0.08813
Word:ashkan cos:-0.35742
Word:10000 cos:0.03565
Word:santhi cos:-0.36949
Word:96.77 cos:-0.00687
Word:daintily cos:-0.33780
Word:uniformed cos:0.19292
Word:carpools cos:-0.56541
Word:corporatisation cos:-0.51109
Word:97.93 cos:-0.06782
Word:umes cos:-0.48091
Word:awais cos:-0.08043
Word:384.75 cos:-0.17668
Word:pretence cos:0.05125
Word:beldon cos:-0.08556
Word:alms cos:-0.01909
Word:per-capita cos:-0.18485
Word:partible cos:-0.24126
Word:donze cos:-0.36365
Word:buzzsaw cos:-0.24806
Word:94.35 cos:-0.21578
Word:1.3450 cos:-0.23068
Word:dentinho cos:-0.44292
Word:skrzypek cos:-0.29811
Word:73.6 cos:-0.30481
Word:prasarana cos:-0.39458
Word:snoozed cos:-0.39333
Word:2802 cos:-0.10737
Word:concessionary cos:-0.05756
Word:88.35 cos:-0.24125
Word:re-introducing cos:-0.37231
Word:regathered cos:-0.24943
Word:reformulating cos:-0.44189
Word:freshen cos:-0.19431
Word:zeroual cos:-0.19695
Word:malaitans cos:-0.32426
Word:t20 cos:0.15197
Word:demobilizing cos:-0.27794
Word:120.4 cos:-0.37643
Word:montoneros cos:-0.23780
Word:97.64 cos:-0.02245
Word:demra cos:-0.45171
Word:aetius cos:-0.03884
Word:natwest cos:0.34605
Word:karapialis cos:-0.24533
Word:kigali cos:-0.17950
Word:brillantes cos:-0.29246
Word:orestiada cos:-0.46713
Word:stefy cos:-0.47449
Word:95.14 cos:-0.26721
Word:153.3 cos:-0.37703
Word:94.58 cos:-0.32313
Word:disgrace cos:0.27160
Word:1.363 cos:-0.47023
Word:higher-rated cos:-0.37186
Word:grinds cos:-0.26356
Word:94.43 cos:-0.18054
Word:arulmigu cos:-0.26996
Word:bedaux cos:-0.09480
Word:donaghey cos:-0.26450
Word:tayna cos:-0.08873
Word:aconcagua cos:-0.06312
Word:forepaws cos:-0.10821
Word:87.61 cos:-0.33070
Word:neff cos:0.24616
Word:roughen cos:-0.27060
Word:nicodemus cos:-0.06637
Word:biliverdin cos:-0.29493
Word:98.61 cos:0.02736
Word:68kg cos:0.13324
Word:dargah cos:-0.22342
Word:marri cos:-0.09045
Word:implementer cos:-0.34603
Word:wilker cos:-0.21510
Word:shimmied cos:-0.18501
Word:tianguang cos:-0.46931
Word:alleviate cos:-0.17478
Word:svedka cos:-0.33216
Word:89.87 cos:-0.25895
Word:sakishima cos:-0.36580
Word:tbm cos:0.01055
Word:danelaw cos:-0.18093
Word:assin cos:-0.44008
Word:liberalizes cos:-0.37283
Word:elena cos:0.12021
Word:75.8 cos:-0.25797
Word:mabank cos:-0.32784
Word:joy cos:0.38599
Word:maladies cos:-0.09621
Word:malcolmx cos:-0.27906
Word:157.6 cos:-0.34083
Word:kiyomori cos:0.06031
Word:93.26 cos:-0.19521
Word:submergence cos:-0.11814
Word:marinates cos:-0.45560
Word:97.29 cos:-0.07917
Word:91.2 cos:-0.09719
Word:youzhny cos:0.04544
Word:bulkiness cos:-0.36297
Word:pawlik cos:-0.26436
Word:schemed cos:-0.07885
Word:meller cos:-0.22412
Word:chunga cos:-0.01142
Word:tulbagh cos:-0.39734
Word:unemployement cos:-0.47047
Word:stammler cos:-0.19460
Word:cogitate cos:-0.38434
Word:concertedly cos:-0.49305
Word:346.6 cos:-0.44450
Word:clamber cos:-0.12354
Word:retool cos:-0.36687
Word:fining cos:-0.25692
Word:instating cos:-0.46021
Word:vasbert cos:-0.05442
Word:egyptologists cos:-0.21479
Word:107.83 cos:-0.28864
Word:rostelecom cos:-0.17476
Word:trendsetting cos:-0.25017
Word:dharan cos:-0.51785
Word:thekkady cos:-0.38375
Word:freeling cos:-0.36020
Word:rubbles cos:-0.24940
Word:bloodiness cos:-0.30381
Word:planck cos:0.06712
Word:constructionist cos:-0.15861
Word:71.5 cos:-0.30508
Word:trulock cos:-0.36903
Word:93.02 cos:-0.18665
Word:88.38 cos:-0.24186
Word:72.88 cos:-0.23665
Word:79.88 cos:-0.42789
Word:98.33 cos:0.03664
Word:spinners cos:0.12947
Word:kleihues cos:-0.31793
Word:1976-83 cos:-0.09518
Word:mitsui cos:0.16992
Word:frenchmans cos:-0.16325
Word:staving cos:-0.37828
Word:82.96 cos:-0.48869
Word:irrefutable cos:-0.08489
Word:shota cos:-0.12935
Word:greco-roman cos:0.13223
Word:215.5 cos:-0.43836
Word:lindberghs cos:-0.10808
Word:1890 cos:0.30350
Word:spinneret cos:-0.47747
Word:kinsey cos:0.06853
Word:stickball cos:-0.06985
Word:99.56 cos:-0.04857
Word:99.20 cos:-0.09393
Word:fagan cos:0.38299
Word:129.8 cos:-0.31744
Word:2,899 cos:-0.34703
Word:99.35 cos:-0.00750
Word:flagstaffs cos:-0.29537
Word:superannuation cos:0.02931
Word:96.91 cos:-0.20092
Word:netechma cos:-0.45475
Word:shopnbc cos:-0.45056
Word:commissionner cos:-0.27079
Word:pabhaga cos:-0.26867
Word:treos cos:-0.49422
Word:zimbabwean cos:0.03368
Word:440,000 cos:-0.34879
Word:cross-town cos:0.04268
Word:stanier cos:0.22870
Word:aeolus cos:-0.01647
Word:cots cos:-0.17890
Word:wapello cos:-0.24857
Word:fdisk cos:-0.49803
Word:maglor cos:-0.36432
Word:smarten cos:-0.18848
Word:grasscourt cos:-0.00892
Word:malpan cos:-0.21349
Word:rapproachment cos:-0.50303
Word:muchinguri cos:-0.56698
Word:carbide cos:0.05819
Word:1.5050 cos:-0.27696
Word:mellon cos:0.26375
Word:sweetcorn cos:-0.59305
Word:homebuyers cos:-0.14968
Word:great-grandnephew cos:-0.12181
Word:98.87 cos:-0.01326
Word:83.73 cos:-0.31612
Word:00 cos:0.16046
Word:750,000 cos:-0.00417
Word:dairying cos:-0.37185
Word:oconaluftee cos:-0.34404
Word:atones cos:-0.31177
Word:98.78 cos:0.00860
Word:156.8 cos:-0.46369
Word:akhetaten cos:-0.29155
Word:eginton cos:-0.25015
Word:119.6 cos:-0.20683
Word:98.21 cos:0.06585
Word:79.0 cos:-0.18044
Word:malice cos:0.29989
Word:bisexuals cos:-0.27018
Word:gulen cos:-0.45732
Word:nonhuman cos:-0.10282
Word:95.97 cos:-0.07681
Word:2,008 cos:-0.27860
Word:n'djamena cos:-0.13157
Word:126.3 cos:-0.27348
Word:contusions cos:-0.09971
Word:1.5400 cos:-0.39505
Word:dondero cos:-0.19839
Word:harriton cos:0.00904
Word:93.07 cos:-0.40563
Word:air-cooled cos:-0.04376
Word:cross-boundary cos:-0.46200
Word:hitchens cos:0.04343
Word:104.8 cos:-0.13773
Word:atabeg cos:-0.09458
Word:loganathan cos:-0.19288
Word:95.37 cos:-0.18897
Word:capobianco cos:-0.05637
Word:gilberd cos:-0.39695
Word:stackable cos:-0.25439
Word:straight-4 cos:0.00428
Word:unitas cos:0.33718
Word:groused cos:-0.27313
Word:irinej cos:-0.30023
Word:v-6-powered cos:-0.29331
Word:tianshui cos:-0.41909
Word:sidetracking cos:-0.46490
Word:colonising cos:-0.34498
Word:gibson cos:0.63749
Word:eriberto cos:-0.30489
Word:kadannikov cos:-0.26452
Word:gamebreaker cos:-0.30853
Word:1.6050 cos:-0.39480
Word:vrain cos:-0.05609
Word:cobolli cos:-0.23736
Word:nebulae cos:-0.00344
Word:tobacco-free cos:-0.42920
Word:paramonova cos:-0.20678
Word:lescol cos:-0.28349
Word:toe-to-toe cos:-0.14949
Word:tirelli cos:-0.35328
Word:akosombo cos:-0.23928
Word:95.32 cos:-0.30312
Word:nrp cos:-0.11365
Word:93.2 cos:-0.12142
Word:99.79 cos:-0.15920
Word:riemersma cos:-0.25789
Word:theinni cos:-0.36551
Word:chachapoyas cos:-0.38531
Word:81.6 cos:-0.20939
Word:canarsie cos:-0.08220
Word:98.85 cos:-0.12108
Word:gomastapur cos:-0.26782
Word:95.16 cos:-0.12527
Word:actuaries cos:-0.13303
Word:1867 cos:0.26238
Word:96.93 cos:-0.05482
Word:unproved cos:-0.29553
Word:90.72 cos:-0.33178
Word:competion cos:-0.46339
Word:82.8 cos:-0.21437
Word:working-age cos:-0.38347
Word:deliverymen cos:-0.28390
Word:tomakomai cos:-0.37901
Word:mawdsley cos:-0.12766
Word:tavernier cos:-0.03730
Word:millinery cos:-0.20143
Word:grâce cos:-0.01010
Word:weatherston cos:-0.29274
Word:koroi cos:-0.23340
Word:99.54 cos:-0.17207
Word:readmission cos:-0.17280
Word:panay cos:-0.07589
Word:deboning cos:-0.54905
Word:cymbalta cos:-0.20740
Word:1620 cos:0.20243
Word:varenicline cos:-0.51918
Word:antaryami cos:-0.08463
Word:85.63 cos:-0.44077
Word:metallurgical cos:-0.18270
Word:kariba cos:-0.10529
Word:20-episode cos:-0.13941
Word:pulmonary cos:-0.05483
Word:pisarn cos:-0.05046
Word:12-race cos:-0.16234
Word:136.2 cos:-0.33469
Word:97.24 cos:-0.07587
Word:100-loss cos:-0.18696
Word:hongren cos:-0.25258
Word:stowing cos:-0.17383
Word:talpiot cos:-0.25711
Word:glaspy cos:-0.22789
Word:goslings cos:-0.38932
Word:zipf cos:-0.07398
Word:scta cos:-0.42595
Word:guty cos:-0.39677
Word:fruitlessly cos:-0.31133
Word:77.1 cos:-0.26528
Word:99.06 cos:-0.07910
Word:95.49 cos:-0.11640
Word:wolfed cos:-0.16338
Word:submissively cos:-0.39989
Word:gunung cos:-0.28057
Word:351.3 cos:-0.38218
Word:roths cos:-0.22357
Word:ballcap cos:-0.09999
Word:weera cos:-0.20136
Word:misdiagnosed cos:-0.16268
Word:entombment cos:-0.10803
Word:jayadeva cos:-0.36102
Word:ketteler cos:-0.18009
Word:83.32 cos:-0.34626
Word:99.6 cos:-0.20405
Word:collide cos:0.05574
Word:rokhlin cos:-0.06448
Word:perske cos:-0.23724
Word:127.82 cos:-0.23305
Word:93.60 cos:-0.22165
Word:islands cos:0.20887
Word:ardbeg cos:-0.50480
Word:dealed cos:-0.31782
Word:railroads cos:0.01157
Word:four-player cos:-0.25454
Word:belford cos:-0.23484
Word:groenendaal cos:-0.32732
Word:ceausescu cos:-0.18299
Word:self-penned cos:-0.03369
Word:15-episode cos:-0.20517
Word:capita cos:-0.01917
Word:93.56 cos:-0.20345
Word:90.08 cos:-0.26576
Word:85.42 cos:-0.24549
Word:spijkenisse cos:-0.45717
Word:xxxxxend cos:-0.12478
Word:208.6 cos:-0.40047
Word:stolport cos:-0.44896
Word:putsches cos:-0.39853
Word:haub cos:-0.22033
Word:7-29 cos:-0.14561
Word:decota cos:-0.13599
Word:curvilinear cos:-0.25497
Word:megasthenes cos:-0.23559
Word:97.47 cos:-0.11612
Word:88.34 cos:-0.26256
Word:137.7 cos:-0.38474
Word:legh cos:0.12509
Word:carre cos:0.17674
Word:87.95 cos:-0.31049
Word:tunisian cos:-0.06878
Word:7.7445 cos:-0.22392
Word:103.95 cos:-0.17479
Word:bartered cos:-0.07925
Word:ollen cos:-0.26357
Word:bagratuni cos:-0.09806
Word:reaccreditation cos:-0.33902
Word:celil cos:-0.09296
Word:telemar cos:-0.02747
Word:97.17 cos:-0.01340
Word:deregulates cos:-0.34223
Word:molefi cos:-0.08457
Word:cytokinin cos:-0.57175
Word:violation cos:0.16388
Word:gph04bb cos:-0.38714
Word:cross-state cos:-0.07534
Word:134.1 cos:-0.31773
Word:97.81 cos:0.02065
Word:99.68 cos:-0.08919
Word:savojbolagh cos:-0.35241
Word:79.5 cos:-0.12112
Word:prowl cos:-0.17520
Word:windsurfer cos:0.02410
Word:m.div cos:0.18349
Word:godlike cos:0.10773
Word:mawkishness cos:-0.42620
Word:jeronimos cos:-0.36005
Word:disproportionately cos:-0.11217
Word:sabre cos:0.25442
Word:96.63 cos:0.00951
Word:14-lee cos:-0.06034
Word:reinvestments cos:-0.42046
Word:seeliger cos:-0.34986
Word:hrawi cos:-0.12745
Word:92.53 cos:-0.38297
Word:93-minute cos:-0.37141
Word:restarts cos:-0.44546
Word:384.70 cos:-0.23746
Word:98.65 cos:-0.07868
Word:98.13 cos:-0.03415
Word:1.7250 cos:-0.37633
Word:hobeika cos:-0.02656
Word:jadrolinija cos:-0.20208
Word:96.32 cos:-0.12984
Word:sobernheim cos:-0.02081
Word:92.86 cos:-0.18056
Word:alperon cos:-0.18680
Word:103-day cos:-0.20466
Word:79.3 cos:-0.22913
Word:bagapsh cos:-0.13531
Word:94.64 cos:-0.28682
Word:mountaineering cos:0.04661
Word:83.30 cos:-0.30388
Word:ninety-sixth cos:-0.32587
Word:94.4 cos:-0.08019
Word:mikay cos:-0.50721
Word:1,370 cos:-0.22046
Word:85.4 cos:-0.18993
Word:implementers cos:-0.34293
Word:insomnia cos:-0.00869
Word:eighty-fourth cos:-0.19560
Word:munari cos:-0.29026
Word:automotive cos:0.03008
Word:385.50 cos:-0.16418
Word:merchandises cos:-0.31834
Word:382.00 cos:-0.41556
Word:v-twin cos:-0.07266
Word:evangelicals cos:-0.05648
Word:95.19 cos:-0.09737
Word:121.1 cos:-0.27006
Word:72.73 cos:-0.09527
Word:panagora cos:0.10277
Word:vongo cos:-0.28655
Word:magnatune cos:-0.41299
Word:strangle cos:-0.16359
Word:aussee cos:-0.25597
Word:swilled cos:-0.33462
Word:blundin cos:-0.20652
Word:glucophage cos:-0.05996
Word:koljevic cos:-0.07979
Word:slpi cos:-0.51973
Word:dionisio cos:-0.19963
Word:97.22 cos:-0.01465
Word:1765 cos:0.14302
Word:strangehold cos:-0.33370
Word:85.47 cos:-0.26785
Word:decelerates cos:-0.46382
Word:kerikeri cos:-0.38678
Word:magisterium cos:-0.03945
Word:95.86 cos:-0.21033
Word:broadmeadows cos:-0.34525
Word:gey cos:-0.34447
Word:92.24 cos:-0.26827
Word:unloads cos:-0.17717
Word:ruymbeke cos:-0.30173
Word:lufttransport cos:-0.45141
Word:spx cos:0.01910
Word:copithorne cos:-0.12463
Word:schnittke cos:-0.15403
Word:170m cos:-0.34032
Word:autonomous cos:-0.14772
Word:qucha cos:-0.08205
Word:six-cylinder cos:0.03669
Word:95.29 cos:-0.06188
Word:spay/neuter cos:-0.36848
Word:90.68 cos:-0.14541
Word:bided cos:-0.14960
Word:15,200 cos:-0.36202
Word:marchers cos:-0.00959
Word:thrombocytopenia cos:-0.13295
Word:manarov cos:-0.44448
Word:dieselization cos:-0.40412
Word:pliability cos:-0.28771
Word:95.18 cos:-0.21335
Word:immunisations cos:-0.52527
Word:langstroth cos:-0.10752
Word:mishel cos:-0.17796
Word:semifinalist cos:0.02049
Word:0201 cos:-0.16368
Word:guo'er cos:-0.03622
Word:limbered cos:-0.22654
Word:shri cos:0.18284
Word:schavan cos:-0.35425
